"chrono","label","periodo_link"
"SBK1","SBK Early",NA
"SBK2","SBK Late",NA
"LgK1","LgK I",NA
"LgK2","LgK II",NA
"ENE0","Proto Ene.",NA
"ENE1","Jordanow","http://n2t.net/ark:/99152/p0wctqtc2b9"
"ENE2","Epi LgK",NA
"TRB1","TRB Baalberge",NA
"TRB2","TRB Boleraz/Saalzmuende",NA
