"chrono","label"
"SBK1","SBK Early"
"SBK2","SBK Late/LgK I"
"LgK1","SBK Late/LgK I"
"LgK2","LgK II"
"ENE0","Proto Ene."
"ENE1","Proto Ene."
"ENE2","Proto Ene."
"TRB1","TRB Baalberge"
"TRB1","TRB Boleraz/Saalzmuende"
