"id","chrono","period"
"B0464","ENE0","p4.4"
"B0464","ENE0","p4.2"
"B0464","ENE0","p4.0"
"B0465","SBK2","p4.8"
"B0469","SBK2","p4.8"
"B0469","LgK2","p4.6"
"B0469","LgK2","p4.4"
"B0470","SBK2","p4.8"
"B0472","SBK2","p4.8"
"B0472","ENE0","p4.4"
"B0472","ENE0","p4.2"
"B0472","ENE0","p4.0"
"B0477","LgK2","p4.6"
"B0477","LgK2","p4.4"
"B0478","SBK2","p4.8"
"B0479","SBK2","p4.8"
"B0480","SBK2","p4.8"
"B0488","LgK2","p4.6"
"B0488","LgK2","p4.4"
"B0489","SBK2","p4.8"
"B0490","ENE0","p4.4"
"B0490","ENE0","p4.2"
"B0490","ENE0","p4.0"
"B0494","SBK2","p4.8"
"B0496","SBK1","p5.0"
"B0496","SBK1","p4.8"
"B0499","SBK1","p5.0"
"B0499","SBK1","p4.8"
"B0502","SBK2","p4.8"
"B0506","SBK2","p4.8"
"B0509","SBK2","p4.8"
"B0509","TRB1","p3.8"
"B0510","SBK2","p4.8"
"B0511","LgK2","p4.6"
"B0511","LgK2","p4.4"
"B0512","ENE0","p4.4"
"B0512","ENE0","p4.2"
"B0512","ENE0","p4.0"
"B0515","ENE0","p4.4"
"B0515","ENE0","p4.2"
"B0515","ENE0","p4.0"
"B0518","LgK2","p4.6"
"B0518","LgK2","p4.4"
"B0519","LgK2","p4.6"
"B0519","LgK2","p4.4"
"B0520","SBK2","p4.8"
"B0521","LgK2","p4.6"
"B0521","LgK2","p4.4"
"B0521","ENE0","p4.4"
"B0521","ENE0","p4.2"
"B0521","ENE0","p4.0"
"B0523","LgK2","p4.6"
"B0523","LgK2","p4.4"
"B0525","LgK2","p4.6"
"B0525","LgK2","p4.4"
"B0526","SBK2","p4.8"
"B0530","SBK2","p4.8"
"B0531","ENE0","p4.4"
"B0531","ENE0","p4.2"
"B0531","ENE0","p4.0"
"B0532","SBK2","p4.8"
"B0534","SBK2","p4.8"
"B0534","LgK2","p4.6"
"B0534","LgK2","p4.4"
"B0536","LgK2","p4.6"
"B0536","LgK2","p4.4"
"B0536","ENE0","p4.4"
"B0536","ENE0","p4.2"
"B0536","ENE0","p4.0"
"B0539","SBK2","p4.8"
"B0542","SBK2","p4.8"
"B0542","LgK2","p4.6"
"B0542","LgK2","p4.4"
"B0542","ENE0","p4.4"
"B0542","ENE0","p4.2"
"B0542","ENE0","p4.0"
"B0542","TRB1","p3.8"
"B0543","LgK2","p4.6"
"B0543","LgK2","p4.4"
"B0544","ENE0","p4.4"
"B0544","ENE0","p4.2"
"B0544","ENE0","p4.0"
"B0545","SBK2","p4.8"
"B0548","LgK2","p4.6"
"B0548","LgK2","p4.4"
"B0552","ENE0","p4.4"
"B0552","ENE0","p4.2"
"B0552","ENE0","p4.0"
"B0557","SBK2","p4.8"
"B0558","SBK2","p4.8"
"B0559","SBK2","p4.8"
"B0560","LgK2","p4.6"
"B0560","LgK2","p4.4"
"B0563","ENE0","p4.4"
"B0563","ENE0","p4.2"
"B0563","ENE0","p4.0"
"B0564","LgK2","p4.6"
"B0564","LgK2","p4.4"
"B0564","ENE0","p4.4"
"B0564","ENE0","p4.2"
"B0564","ENE0","p4.0"
"B0564","TRB1","p3.8"
"B0565","SBK2","p4.8"
"B0566","SBK2","p4.8"
"B0567","SBK2","p4.8"
"B0567","ENE0","p4.4"
"B0567","ENE0","p4.2"
"B0567","ENE0","p4.0"
"B0570","TRB2","p3.6"
"B0570","TRB2","p3.4"
"B0571","ENE0","p4.4"
"B0571","ENE0","p4.2"
"B0571","ENE0","p4.0"
"B0576","SBK1","p5.0"
"B0576","SBK1","p4.8"
"B0578","ENE0","p4.4"
"B0578","ENE0","p4.2"
"B0578","ENE0","p4.0"
"B0581","TRB2","p3.6"
"B0581","TRB2","p3.4"
"B0583","ENE0","p4.4"
"B0583","ENE0","p4.2"
"B0583","ENE0","p4.0"
"B0585","ENE0","p4.4"
"B0585","ENE0","p4.2"
"B0585","ENE0","p4.0"
"B0586","ENE0","p4.4"
"B0586","ENE0","p4.2"
"B0586","ENE0","p4.0"
"B0587","LgK2","p4.6"
"B0587","LgK2","p4.4"
"B0587","ENE0","p4.4"
"B0587","ENE0","p4.2"
"B0587","ENE0","p4.0"
"B0590","ENE0","p4.4"
"B0590","ENE0","p4.2"
"B0590","ENE0","p4.0"
"B0593","ENE0","p4.4"
"B0593","ENE0","p4.2"
"B0593","ENE0","p4.0"
"B0595","ENE0","p4.4"
"B0595","ENE0","p4.2"
"B0595","ENE0","p4.0"
"B0596","SBK2","p4.8"
"B0599","ENE0","p4.4"
"B0599","ENE0","p4.2"
"B0599","ENE0","p4.0"
"B0607","ENE0","p4.4"
"B0607","ENE0","p4.2"
"B0607","ENE0","p4.0"
"B0613","TRB1","p3.8"
"B0614","ENE0","p4.4"
"B0614","ENE0","p4.2"
"B0614","ENE0","p4.0"
"M0001","LgK2","p4.6"
"M0001","LgK2","p4.4"
"M0002","TRB2","p3.6"
"M0002","TRB2","p3.4"
"M0004","TRB2","p3.6"
"M0004","TRB2","p3.4"
"M0006","LgK1","p4.8"
"M0006","LgK1","p4.6"
"M0007","ENE0","p4.4"
"M0007","ENE0","p4.2"
"M0008","LgK2","p4.6"
"M0008","LgK2","p4.4"
"M0009","LgK1","p4.8"
"M0009","LgK1","p4.6"
"M0013","LgK2","p4.6"
"M0013","LgK2","p4.4"
"M0016","LgK2","p4.6"
"M0016","LgK2","p4.4"
"M0017","LgK2","p4.6"
"M0017","LgK2","p4.4"
"M0018","LgK2","p4.6"
"M0018","LgK2","p4.4"
"M0021","LgK2","p4.6"
"M0021","LgK2","p4.4"
"M0022","LgK2","p4.6"
"M0022","LgK2","p4.4"
"M0023","LgK2","p4.6"
"M0023","LgK2","p4.4"
"M0026","LgK1","p4.8"
"M0026","LgK1","p4.6"
"M0027","ENE0","p4.4"
"M0027","ENE0","p4.2"
"M0029","LgK2","p4.6"
"M0029","LgK2","p4.4"
"M0031","TRB1","p3.8"
"M0032","LgK2","p4.6"
"M0032","LgK2","p4.4"
"M0033","LgK2","p4.6"
"M0033","LgK2","p4.4"
"M0034","LgK2","p4.6"
"M0034","LgK2","p4.4"
"M0037","LgK2","p4.6"
"M0037","LgK2","p4.4"
"M0039","LgK2","p4.6"
"M0039","LgK2","p4.4"
"M0039","TRB1","p3.8"
"M0039","TRB2","p3.6"
"M0039","TRB2","p3.4"
"M0040","LgK2","p4.6"
"M0040","LgK2","p4.4"
"M0043","LgK2","p4.6"
"M0043","LgK2","p4.4"
"M0045","LgK2","p4.6"
"M0045","LgK2","p4.4"
"M0046","TRB2","p3.6"
"M0046","TRB2","p3.4"
"M0051","LgK1","p4.8"
"M0051","LgK1","p4.6"
"M0052","LgK1","p4.8"
"M0052","LgK1","p4.6"
"M0053","LgK2","p4.6"
"M0053","LgK2","p4.4"
"M0054","LgK2","p4.6"
"M0054","LgK2","p4.4"
"M0055","SBK1","p5.0"
"M0055","SBK1","p4.8"
"M0056","LgK2","p4.6"
"M0056","LgK2","p4.4"
"M0057","LgK1","p4.8"
"M0057","LgK1","p4.6"
"M0058","LgK1","p4.8"
"M0058","LgK1","p4.6"
"M0059","LgK1","p4.8"
"M0059","LgK1","p4.6"
"M0060","LgK2","p4.6"
"M0060","LgK2","p4.4"
"M0061","LgK1","p4.8"
"M0061","LgK1","p4.6"
"M0062","LgK2","p4.6"
"M0062","LgK2","p4.4"
"M0068","SBK1","p5.0"
"M0068","SBK1","p4.8"
"M0068","LgK2","p4.6"
"M0068","LgK2","p4.4"
"M0072","LgK2","p4.6"
"M0072","LgK2","p4.4"
"M0074","LgK2","p4.6"
"M0074","LgK2","p4.4"
"M0075","LgK2","p4.6"
"M0075","LgK2","p4.4"
"M0076","LgK2","p4.6"
"M0076","LgK2","p4.4"
"M0077","LgK2","p4.6"
"M0077","LgK2","p4.4"
"M0078","LgK2","p4.6"
"M0078","LgK2","p4.4"
"M0079","LgK2","p4.6"
"M0079","LgK2","p4.4"
"M0081","LgK2","p4.6"
"M0081","LgK2","p4.4"
"M0082","LgK2","p4.6"
"M0082","LgK2","p4.4"
"M0082","ENE0","p4.4"
"M0082","ENE0","p4.2"
"M0083","LgK2","p4.6"
"M0083","LgK2","p4.4"
"M0083","ENE0","p4.4"
"M0083","ENE0","p4.2"
"M0085","LgK2","p4.6"
"M0085","LgK2","p4.4"
"M0086","LgK2","p4.6"
"M0086","LgK2","p4.4"
"M0087","LgK1","p4.8"
"M0087","LgK1","p4.6"
"M0088","LgK1","p4.8"
"M0088","LgK1","p4.6"
"M0089","LgK1","p4.8"
"M0089","LgK1","p4.6"
"M0090","LgK2","p4.6"
"M0090","LgK2","p4.4"
"M0091","TRB2","p3.6"
"M0091","TRB2","p3.4"
"M0092","LgK2","p4.6"
"M0092","LgK2","p4.4"
"M0092","ENE0","p4.4"
"M0092","ENE0","p4.2"
"M0093","LgK2","p4.6"
"M0093","LgK2","p4.4"
"M0094","TRB1","p3.8"
"M0095","LgK2","p4.6"
"M0095","LgK2","p4.4"
"M0096","LgK2","p4.6"
"M0096","LgK2","p4.4"
"M0099","TRB1","p3.8"
"M0102","TRB2","p3.6"
"M0102","TRB2","p3.4"
"M0103","TRB1","p3.8"
"M0104","LgK2","p4.6"
"M0104","LgK2","p4.4"
"M0104","ENE0","p4.4"
"M0104","ENE0","p4.2"
"M0105","SBK1","p5.0"
"M0105","SBK1","p4.8"
"M0106","LgK1","p4.8"
"M0106","LgK1","p4.6"
"M0107","LgK2","p4.6"
"M0107","LgK2","p4.4"
"M0109","SBK1","p5.0"
"M0109","SBK1","p4.8"
"M0109","LgK2","p4.6"
"M0109","LgK2","p4.4"
"M0110","LgK2","p4.6"
"M0110","LgK2","p4.4"
"M0110","TRB2","p3.6"
"M0110","TRB2","p3.4"
"M0114","LgK2","p4.6"
"M0114","LgK2","p4.4"
"M0116","LgK1","p4.8"
"M0116","LgK1","p4.6"
"M0117","LgK2","p4.6"
"M0117","LgK2","p4.4"
"M0118","LgK1","p4.8"
"M0118","LgK1","p4.6"
"M0119","LgK1","p4.8"
"M0119","LgK1","p4.6"
"M0120","LgK1","p4.8"
"M0120","LgK1","p4.6"
"M0123","LgK2","p4.6"
"M0123","LgK2","p4.4"
"M0124","LgK1","p4.8"
"M0124","LgK1","p4.6"
"M0126","LgK2","p4.6"
"M0126","LgK2","p4.4"
"M0127","TRB2","p3.6"
"M0127","TRB2","p3.4"
"M0128","SBK1","p5.0"
"M0128","SBK1","p4.8"
"M0129","LgK1","p4.8"
"M0129","LgK1","p4.6"
"M0130","LgK1","p4.8"
"M0130","LgK1","p4.6"
"M0131","LgK2","p4.6"
"M0131","LgK2","p4.4"
"M0131","TRB2","p3.6"
"M0131","TRB2","p3.4"
"M0132","SBK1","p5.0"
"M0132","SBK1","p4.8"
"M0132","LgK2","p4.6"
"M0132","LgK2","p4.4"
"M0135","SBK1","p5.0"
"M0135","SBK1","p4.8"
"M0136","LgK2","p4.6"
"M0136","LgK2","p4.4"
"M0137","LgK1","p4.8"
"M0137","LgK1","p4.6"
"M0138","LgK2","p4.6"
"M0138","LgK2","p4.4"
"M0139","LgK2","p4.6"
"M0139","LgK2","p4.4"
"M0141","LgK2","p4.6"
"M0141","LgK2","p4.4"
"M0143","LgK1","p4.8"
"M0143","LgK1","p4.6"
"M0144","LgK2","p4.6"
"M0144","LgK2","p4.4"
"M0145","LgK2","p4.6"
