"id","chrono","period"
"B0071","LgK","p4.6"
"B0071","LgK","p4.4"
"B0072","SBK","p5.0"
"B0072","SBK","p4.8"
"B0072","TRB","p3.8"
"B0072","TRB","p3.6"
"B0072","TRB","p3.4"
"B0073","SBK","p5.0"
"B0073","SBK","p4.8"
"B0073","ENE","p4.4"
"B0073","ENE","p4.2"
"B0073","ENE","p4.0"
"B0073","TRB","p3.8"
"B0073","TRB","p3.6"
"B0073","TRB","p3.4"
"B0074","TRB","p3.8"
"B0074","TRB","p3.6"
"B0074","TRB","p3.4"
"B0075","SBK","p5.0"
"B0075","SBK","p4.8"
"B0076","SBK","p5.0"
"B0076","SBK","p4.8"
"B0077","SBK","p5.0"
"B0077","SBK","p4.8"
"B0078","SBK","p5.0"
"B0078","SBK","p4.8"
"B0079","SBK","p5.0"
"B0079","SBK","p4.8"
"B0080","ENE","p4.4"
"B0080","ENE","p4.2"
"B0080","ENE","p4.0"
"B0081","ENE","p4.4"
"B0081","ENE","p4.2"
"B0081","ENE","p4.0"
"B0082","TRB","p3.8"
"B0082","TRB","p3.6"
"B0082","TRB","p3.4"
"B0083","SBK","p5.0"
"B0083","SBK","p4.8"
"B0083","TRB","p3.8"
"B0083","TRB","p3.6"
"B0083","TRB","p3.4"
"B0084","SBK","p5.0"
"B0084","SBK","p4.8"
"B0084","TRB","p3.8"
"B0084","TRB","p3.6"
"B0084","TRB","p3.4"
"B0085","TRB","p3.8"
"B0085","TRB","p3.6"
"B0085","TRB","p3.4"
"B0086","SBK","p5.0"
"B0086","SBK","p4.8"
"B0087","TRB","p3.8"
"B0087","TRB","p3.6"
"B0087","TRB","p3.4"
"B0088","ENE","p4.4"
"B0088","ENE","p4.2"
"B0088","ENE","p4.0"
"B0089","TRB","p3.8"
"B0089","TRB","p3.6"
"B0089","TRB","p3.4"
"B0090","SBK","p5.0"
"B0090","SBK","p4.8"
"B0091","SBK","p5.0"
"B0091","SBK","p4.8"
"B0092","SBK","p5.0"
"B0092","SBK","p4.8"
"B0093","SBK","p5.0"
"B0093","SBK","p4.8"
"B0093","TRB","p3.8"
"B0093","TRB","p3.6"
"B0093","TRB","p3.4"
"B0094","TRB","p3.8"
"B0094","TRB","p3.6"
"B0094","TRB","p3.4"
"B0095","TRB","p3.8"
"B0095","TRB","p3.6"
"B0095","TRB","p3.4"
"B0096","TRB","p3.8"
"B0096","TRB","p3.6"
"B0096","TRB","p3.4"
"B0097","SBK","p5.0"
"B0097","SBK","p4.8"
"B0098","SBK","p5.0"
"B0098","SBK","p4.8"
"B0099","SBK","p5.0"
"B0099","SBK","p4.8"
"B0099","TRB","p3.8"
"B0099","TRB","p3.6"
"B0099","TRB","p3.4"
"B0100","LgK","p4.6"
"B0100","LgK","p4.4"
"B0100","TRB","p3.8"
"B0100","TRB","p3.6"
"B0100","TRB","p3.4"
"B0101","LgK","p4.6"
"B0101","LgK","p4.4"
"B0102","ENE","p4.4"
"B0102","ENE","p4.2"
"B0102","ENE","p4.0"
"B0104","SBK","p5.0"
"B0104","SBK","p4.8"
"B0105","SBK","p5.0"
"B0105","SBK","p4.8"
"B0106","SBK","p5.0"
"B0106","SBK","p4.8"
"B0107","SBK","p5.0"
"B0107","SBK","p4.8"
"B0107","ENE","p4.4"
"B0107","ENE","p4.2"
"B0107","ENE","p4.0"
"B0108","SBK","p5.0"
"B0108","SBK","p4.8"
"B0109","SBK","p5.0"
"B0109","SBK","p4.8"
"B0109","TRB","p3.8"
"B0109","TRB","p3.6"
"B0109","TRB","p3.4"
"B0110","SBK","p5.0"
"B0110","SBK","p4.8"
"B0110","TRB","p3.8"
"B0110","TRB","p3.6"
"B0110","TRB","p3.4"
"B0111","SBK","p5.0"
"B0111","SBK","p4.8"
"B0112","TRB","p3.8"
"B0112","TRB","p3.6"
"B0112","TRB","p3.4"
"B0113","TRB","p3.8"
"B0113","TRB","p3.6"
"B0113","TRB","p3.4"
"B0114","TRB","p3.8"
"B0114","TRB","p3.6"
"B0114","TRB","p3.4"
"B0115","SBK","p5.0"
"B0115","SBK","p4.8"
"B0116","SBK","p5.0"
"B0116","SBK","p4.8"
"B0117","SBK","p5.0"
"B0117","SBK","p4.8"
"B0118","LgK","p4.6"
"B0118","LgK","p4.4"
"B0119","TRB","p3.8"
"B0119","TRB","p3.6"
"B0119","TRB","p3.4"
"B0120","LgK","p4.6"
"B0120","LgK","p4.4"
"B0121","SBK","p5.0"
"B0121","SBK","p4.8"
"B0121","TRB","p3.8"
"B0121","TRB","p3.6"
"B0121","TRB","p3.4"
"B0122","TRB","p3.8"
"B0122","TRB","p3.6"
"B0122","TRB","p3.4"
"B0123","SBK","p5.0"
"B0123","SBK","p4.8"
"B0124","TRB","p3.8"
"B0124","TRB","p3.6"
"B0124","TRB","p3.4"
"B0125","TRB","p3.8"
"B0125","TRB","p3.6"
"B0125","TRB","p3.4"
"B0126","ENE","p4.4"
"B0126","ENE","p4.2"
"B0126","ENE","p4.0"
"B0126","TRB","p3.8"
"B0126","TRB","p3.6"
"B0126","TRB","p3.4"
"B0127","ENE","p4.4"
"B0127","ENE","p4.2"
"B0127","ENE","p4.0"
"B0127","TRB","p3.8"
"B0127","TRB","p3.6"
"B0127","TRB","p3.4"
"B0128","TRB","p3.8"
"B0128","TRB","p3.6"
"B0128","TRB","p3.4"
"B0129","TRB","p3.8"
"B0129","TRB","p3.6"
"B0129","TRB","p3.4"
"B0130","SBK","p5.0"
"B0130","SBK","p4.8"
"B0131","SBK","p5.0"
"B0131","SBK","p4.8"
"B0131","LgK","p4.6"
"B0131","LgK","p4.4"
"B0131","ENE","p4.4"
"B0131","ENE","p4.2"
"B0131","ENE","p4.0"
"B0131","TRB","p3.8"
"B0131","TRB","p3.6"
"B0131","TRB","p3.4"
"B0132","SBK","p5.0"
"B0132","SBK","p4.8"
"B0133","TRB","p3.8"
"B0133","TRB","p3.6"
"B0133","TRB","p3.4"
"B0134","ENE","p4.4"
"B0134","ENE","p4.2"
"B0134","ENE","p4.0"
"B0135","TRB","p3.8"
"B0135","TRB","p3.6"
"B0135","TRB","p3.4"
"B0136","SBK","p5.0"
"B0136","SBK","p4.8"
"B0137","TRB","p3.8"
"B0137","TRB","p3.6"
"B0137","TRB","p3.4"
"B0138","LgK","p4.6"
"B0138","LgK","p4.4"
"B0139","TRB","p3.8"
"B0139","TRB","p3.6"
"B0139","TRB","p3.4"
"B0140","LgK","p4.6"
"B0140","LgK","p4.4"
"B0141","SBK","p5.0"
"B0141","SBK","p4.8"
"B0142","SBK","p5.0"
"B0142","SBK","p4.8"
"B0143","LgK","p4.6"
"B0143","LgK","p4.4"
"B0144","SBK","p5.0"
"B0144","SBK","p4.8"
"B0145","SBK","p5.0"
"B0145","SBK","p4.8"
"B0146","SBK","p5.0"
"B0146","SBK","p4.8"
"B0146","TRB","p3.8"
"B0146","TRB","p3.6"
"B0146","TRB","p3.4"
"B0147","SBK","p5.0"
"B0147","SBK","p4.8"
"B0148","SBK","p5.0"
"B0148","SBK","p4.8"
"B0149","SBK","p5.0"
"B0149","SBK","p4.8"
"B0150","SBK","p5.0"
"B0150","SBK","p4.8"
"B0151","SBK","p5.0"
"B0151","SBK","p4.8"
"B0153","SBK","p5.0"
"B0153","SBK","p4.8"
"B0154","SBK","p5.0"
"B0154","SBK","p4.8"
"B0154","ENE","p4.4"
"B0154","ENE","p4.2"
"B0154","ENE","p4.0"
"B0155","SBK","p5.0"
"B0155","SBK","p4.8"
"B0155","TRB","p3.8"
"B0155","TRB","p3.6"
"B0155","TRB","p3.4"
"B0156","TRB","p3.8"
"B0156","TRB","p3.6"
"B0156","TRB","p3.4"
"B0157","SBK","p5.0"
"B0157","SBK","p4.8"
"B0158","TRB","p3.8"
"B0158","TRB","p3.6"
"B0158","TRB","p3.4"
"B0159","SBK","p5.0"
"B0159","SBK","p4.8"
"B0159","LgK","p4.6"
"B0159","LgK","p4.4"
"B0159","TRB","p3.8"
"B0159","TRB","p3.6"
"B0159","TRB","p3.4"
"B0160","SBK","p5.0"
"B0160","SBK","p4.8"
"B0161","SBK","p5.0"
"B0161","SBK","p4.8"
"B0162","SBK","p5.0"
"B0162","SBK","p4.8"
"B0163","SBK","p5.0"
"B0163","SBK","p4.8"
"B0164","SBK","p5.0"
"B0164","SBK","p4.8"
"B0165","ENE","p4.4"
"B0165","ENE","p4.2"
"B0165","ENE","p4.0"
"B0166","SBK","p5.0"
"B0166","SBK","p4.8"
"B0167","SBK","p5.0"
"B0167","SBK","p4.8"
"B0167","LgK","p4.6"
"B0167","LgK","p4.4"
"B0167","ENE","p4.4"
"B0167","ENE","p4.2"
"B0167","ENE","p4.0"
"B0168","TRB","p3.8"
"B0168","TRB","p3.6"
"B0168","TRB","p3.4"
"B0169","TRB","p3.8"
"B0169","TRB","p3.6"
"B0169","TRB","p3.4"
"B0170","TRB","p3.8"
"B0170","TRB","p3.6"
"B0170","TRB","p3.4"
"B0171","SBK","p5.0"
"B0171","SBK","p4.8"
"B0172","SBK","p5.0"
"B0172","SBK","p4.8"
"B0173","SBK","p5.0"
"B0173","SBK","p4.8"
"B0174","SBK","p5.0"
"B0174","SBK","p4.8"
"B0175","SBK","p5.0"
"B0175","SBK","p4.8"
"B0176","ENE","p4.4"
"B0176","ENE","p4.2"
"B0176","ENE","p4.0"
"B0177","SBK","p5.0"
"B0177","SBK","p4.8"
"B0178","TRB","p3.8"
"B0178","TRB","p3.6"
"B0178","TRB","p3.4"
"B0179","SBK","p5.0"
"B0179","SBK","p4.8"
"B0180","LgK","p4.6"
"B0180","LgK","p4.4"
"B0181","SBK","p5.0"
"B0181","SBK","p4.8"
"B0181","ENE","p4.4"
"B0181","ENE","p4.2"
"B0181","ENE","p4.0"
"B0182","SBK","p5.0"
"B0182","SBK","p4.8"
"B0182","TRB","p3.8"
"B0182","TRB","p3.6"
"B0182","TRB","p3.4"
"B0183","SBK","p5.0"
"B0183","SBK","p4.8"
"B0184","SBK","p5.0"
"B0184","SBK","p4.8"
"B0184","LgK","p4.6"
"B0184","LgK","p4.4"
"B0185","TRB","p3.8"
"B0185","TRB","p3.6"
"B0185","TRB","p3.4"
"B0186","ENE","p4.4"
"B0186","ENE","p4.2"
"B0186","ENE","p4.0"
"B0187","SBK","p5.0"
"B0187","SBK","p4.8"
"B0188","SBK","p5.0"
"B0188","SBK","p4.8"
"B0189","LgK","p4.6"
"B0189","LgK","p4.4"
"B0189","TRB","p3.8"
"B0189","TRB","p3.6"
"B0189","TRB","p3.4"
"B0191","SBK","p5.0"
"B0191","SBK","p4.8"
"B0191","LgK","p4.6"
"B0191","LgK","p4.4"
"B0192","LgK","p4.6"
"B0192","LgK","p4.4"
"B0192","TRB","p3.8"
"B0192","TRB","p3.6"
"B0192","TRB","p3.4"
"B0193","SBK","p5.0"
"B0193","SBK","p4.8"
"B0193","LgK","p4.6"
"B0193","LgK","p4.4"
"B0193","TRB","p3.8"
"B0193","TRB","p3.6"
"B0193","TRB","p3.4"
"B0194","SBK","p5.0"
"B0194","SBK","p4.8"
"B0194","LgK","p4.6"
"B0194","LgK","p4.4"
"B0195","SBK","p5.0"
"B0195","SBK","p4.8"
"B0196","SBK","p5.0"
"B0196","SBK","p4.8"
"B0197","TRB","p3.8"
"B0197","TRB","p3.6"
"B0197","TRB","p3.4"
"B0198","TRB","p3.8"
"B0198","TRB","p3.6"
"B0198","TRB","p3.4"
"B0199","SBK","p5.0"
"B0199","SBK","p4.8"
"B0200","SBK","p5.0"
"B0200","SBK","p4.8"
"B0201","SBK","p5.0"
"B0201","SBK","p4.8"
"B0201","ENE","p4.4"
"B0201","ENE","p4.2"
"B0201","ENE","p4.0"
"B0202","SBK","p5.0"
"B0202","SBK","p4.8"
"B0203","SBK","p5.0"
"B0203","SBK","p4.8"
"B0204","SBK","p5.0"
"B0204","SBK","p4.8"
"B0204","LgK","p4.6"
"B0204","LgK","p4.4"
"B0204","ENE","p4.4"
"B0204","ENE","p4.2"
"B0204","ENE","p4.0"
"B0204","TRB","p3.8"
"B0204","TRB","p3.6"
"B0204","TRB","p3.4"
"B0205","SBK","p5.0"
"B0205","SBK","p4.8"
"B0205","LgK","p4.6"
"B0205","LgK","p4.4"
"B0206","ENE","p4.4"
"B0206","ENE","p4.2"
"B0206","ENE","p4.0"
"B0206","TRB","p3.8"
"B0206","TRB","p3.6"
"B0206","TRB","p3.4"
"B0207","SBK","p5.0"
"B0207","SBK","p4.8"
"B0208","SBK","p5.0"
"B0208","SBK","p4.8"
"B0209","SBK","p5.0"
"B0209","SBK","p4.8"
"B0210","SBK","p5.0"
"B0210","SBK","p4.8"
"B0211","SBK","p5.0"
"B0211","SBK","p4.8"
"B0213","SBK","p5.0"
"B0213","SBK","p4.8"
"B0214","SBK","p5.0"
"B0214","SBK","p4.8"
"B0215","TRB","p3.8"
"B0215","TRB","p3.6"
"B0215","TRB","p3.4"
"B0216","TRB","p3.8"
"B0216","TRB","p3.6"
"B0216","TRB","p3.4"
"B0217","ENE","p4.4"
"B0217","ENE","p4.2"
"B0217","ENE","p4.0"
"B0217","TRB","p3.8"
"B0217","TRB","p3.6"
"B0217","TRB","p3.4"
"B0218","SBK","p5.0"
"B0218","SBK","p4.8"
"B0218","TRB","p3.8"
"B0218","TRB","p3.6"
"B0218","TRB","p3.4"
"B0220","TRB","p3.8"
"B0220","TRB","p3.6"
"B0220","TRB","p3.4"
"B0221","ENE","p4.4"
"B0221","ENE","p4.2"
"B0221","ENE","p4.0"
"B0222","LgK","p4.6"
"B0222","LgK","p4.4"
"B0223","ENE","p4.4"
"B0223","ENE","p4.2"
"B0223","ENE","p4.0"
"B0224","ENE","p4.4"
"B0224","ENE","p4.2"
"B0224","ENE","p4.0"
"B0226","SBK","p5.0"
"B0226","SBK","p4.8"
"B0226","LgK","p4.6"
"B0226","LgK","p4.4"
"B0227","SBK","p5.0"
"B0227","SBK","p4.8"
"B0227","TRB","p3.8"
"B0227","TRB","p3.6"
"B0227","TRB","p3.4"
"B0228","SBK","p5.0"
"B0228","SBK","p4.8"
"B0229","SBK","p5.0"
"B0229","SBK","p4.8"
"B0229","LgK","p4.6"
"B0229","LgK","p4.4"
"B0229","ENE","p4.4"
"B0229","ENE","p4.2"
"B0229","ENE","p4.0"
"B0230","SBK","p5.0"
"B0230","SBK","p4.8"
"B0230","ENE","p4.4"
"B0230","ENE","p4.2"
"B0230","ENE","p4.0"
"B0231","SBK","p5.0"
"B0231","SBK","p4.8"
"B0232","SBK","p5.0"
"B0232","SBK","p4.8"
"B0233","SBK","p5.0"
"B0233","SBK","p4.8"
"B0234","SBK","p5.0"
"B0234","SBK","p4.8"
"B0235","LgK","p4.6"
"B0235","LgK","p4.4"
"B0236","SBK","p5.0"
"B0236","SBK","p4.8"
"B0237","TRB","p3.8"
"B0237","TRB","p3.6"
"B0237","TRB","p3.4"
"B0238","TRB","p3.8"
"B0238","TRB","p3.6"
"B0238","TRB","p3.4"
"B0239","TRB","p3.8"
"B0239","TRB","p3.6"
"B0239","TRB","p3.4"
"B0240","ENE","p4.4"
"B0240","ENE","p4.2"
"B0240","ENE","p4.0"
"B0241","LgK","p4.6"
"B0241","LgK","p4.4"
"B0241","ENE","p4.4"
"B0241","ENE","p4.2"
"B0241","ENE","p4.0"
"B0242","SBK","p5.0"
"B0242","SBK","p4.8"
"B0242","TRB","p3.8"
"B0242","TRB","p3.6"
