"id","orig_id","site"
"B0488",NA,"Sovětice-Skalka"
"B0489","P-1342-00666; P-1342-00644","Staré Jesenčany-Kopanina"
"B0490","HK-7076","Starý Bydžov-Obecní písník u kóty 287"
"B0491","JV-1356","Starý Kolín-u hřbitova"
"B0492","P-1324-00060","Stěžery-"
"B0493","HK-1272","Stěžery-U cihelny"
"B0494","HK-1275","Stěžery-U hřbitova"
"B0495","P-1342-00192","Stíčany-Za sady"
"B0496",NA,"Straky-severní okraj obce"
"B0497","P-1313-01165; P-1313-01164; P-1313-01072","Stránka u Brandýsa nad Labem-"
"B0498","AA1023","Strašnice-pískovny pod Bohdalcem"
"B0499","P-0334-00345","Střevač-U Jordánu"
"B0501","P-1341-00381","Svatý Mikuláš-U studánky"
"B0502","NA-JT-7083","Svinišťany-intravilán"
"B0503","NA-JT-1149","Svinišťany-Muka"
"B0504",NA,"Svojšice u Kouřimi-u cukrovaru"
"B0506",NA,"Šeberov-Na proutcích"
"B0507","P-1313-01249; P-1313-00874","Škvorec-ul. Za Zahradami"
"B0508","P-1313-00176","Škvorec-"
"B0509",NA,"Štítary u Kolína-V šornici"
"B0510","P-1332-00386; ADC-16474","Štítary u Kolína-Za Dvorem"
"B0511","ADC-16473","Štítary u Kolína-Na stráni"
"B0512","ADC-31378","Štolmíř-"
"B0513","JV-1387","Štolmíř-kravín"
"B0514","AN/NB – 1317","Tatce-V dolních čtverých"
"B0515","P-1313-00099; ADC-31395; ADC-15491","Tismice-západní hranice katastru"
"B0516","JV-1393","Tismice-Za školou"
"B0517","P-1431-00109","Tisová u Vysokého Mýta-nad osadou Bžundov"
"B0518","ADC-31402","Topol-Na hradě"
"B0519","P-1342-00465","Topol-Na skále"
"B0520","PB-1259","Trnová-"
"B0521","P-1313-00004; ADC-15536","Třebestovice-Na struhách"
"B0522","AN/NB – 1325","Třebestovice- U bažantnic"
"B0523","P-1341-00110; KH-MA-1071","Třebešice-"
"B0524","P-1321-00023","Třebnouševes-Na střebovským"
"B0525","P-1342-00653; P-1342-00642","Třebosice-Kamenec"
"B0526","P-1342-00045","Třebosice-Hlinecké"
"B0527","PD-JC-7006","Třebovětice-V Blatečkách"
"B0528","PD-JC-1219","Třebovětice-Na průhonku"
"B0529","PD-JC-1220","Třebovětice-Za rašovkami"
"B0530","ADC-16137","Třebovle-U Sázavského dvora"
"B0531",NA,"Třibřichy-býv. Cihelna"
"B0532",NA,"Tuchoraz-Na Pařezu"
"B0533","P-1331-00127","Tuchoraz-Na Vápeníkovým"
"B0534","ADC-16114","Tuchoraz-JZD"
"B0535","P-1342-00017","Tuněchody-u žst."
"B0536","ADC-17236; P-1342-00627","Tuněchody-cihelna"
"B0537","P-1342-00667","Tuněchody-Ruzkovské pole"
"B0538","ADC-16983","Tupadly u Čáslavi-"
"B0539","SM-10161","Turnov-Maškovy zahrady"
"B0540","P-1342-00393","Úhřetice-"
"B0542","P-1342-00395; P-1342-00395; P-1342-00139; P-1342-00140;","Úhřetice-Kopistova a Slavíkova cihelna"
"B0543","PB-1122","Úhřetická Lhota-"
"B0544","AA1500","Újezd nad Lesy-Blatov"
"B0545","JM-DN-7020","Vejvanovice-Na červené hůrce"
"B0546","P-1321-00151; P-1321-00106","Velešice-"
"B0547",NA,"Velichovky-Pod kopcem"
"B0548",NA,"Velim-K sídlišti"
"B0549","P-1314-00263","Velim-Dolní Nouzov"
"B0550","ADC-15703","Velim-cukrovar"
"B0551","P-0334-00152","Veliš u Jičína-"
"B0552","AN/NB – 1330","Velké Zboží-pískovna"
"B0554","P-0334-00250","Vesec u Sobotky-U křížku"
"B0555","ADC-31501","Vesec u Sobotky-Poráň"
"B0556","AN/NB – 1334","Vestec nad Mrlinou-Hliňák"
"B0557","P-1342-00079","Vestec u Chrudimi-"
"B0558","NA-JT-7063","Vestec u Jaroměře-"
"B0559","P-1322-00076","Vestec u Jaroměře-Amerika"
"B0560","AN – 1099","Větrušice u Klecan-Mezi cestami"
"B0561","P-1341-00104","Vinaře-Před Drbohlavem"
"B0562",NA,"Vinařice u Dobrovice-Na kroužku"
"B0563","ADC-11760; ADC-11773; ADC-11769; P-1224-00077","Vinoř-Bohdanečská ul."
"B0564","P-1224-00992; P-1224-00222; P-1224-00213; ADC-11789","Vinoř-Kamenný stůl"
"B0565",NA,"Vinoř-V Obůrkách"
"B0566",NA,"Vinoř-hřbitov"
"B0567","ADC-11773; P-1224-00150","Vinoř-Mladoboleskavská"
"B0568","P-1224-01413","Vinoř-U cukrovaru"
"B0569","MK-2017-002","Vinoř-Lohenická"
"B0570",NA,"Vinoř-Štěpánovská"
"B0571","P-1331-00119","Vitice-K Močedníku"
"B0572","P-1331-00010","Vitice-K Synči"
"B0573","P-0343-00239; P-0343-00049","Vitiněves-"
"B0574","P-0343-00294","Vitiněves-"
"B0575","P-1342-00436","Vlčnov u Chrudimi-U Presů"
"B0576","P-1321-00255","Vlhošť-"
"B0578","AN – 1100","Vodochody u Prahy-"
"B0579","PD-JC-7005","Votuz-Třešňovka"
"B0580","ADC-15547","Vrbčany-Cihelna na Kubšovce"
"B0581","JV-1428","Vrbčany-Na křemencích"
"B0582","P-1312-00019","Vršce-"
"B0583","AA7006","Vršovice-bývalá Rennerova pískovna"
"B0584",NA,"Vysočany-býv. pískovna"
"B0585","P-1431-00048; DV1056","Vysoké Mýto-Na Krétě"
"B0586","P-1431-00169","Vysoké Mýto-Průhony"
"B0587","P-1313-00825","Vyšehořovice-"
"B0588","P-1313-00510","Vyšehořovice-lupkové doly"
"B0589","P-1224-01376","Záběhlice-Práčská ul."
"B0590","P-1313-00677","Záluží u Čelákovic-Límanova cihelna"
"B0591",NA,"Zámostí u Rožďalovic"
"B0592","P-1313-01111; P-1313-01074","Zápy-"
"B0593","P-1313-01139","Zápy-Průmyslová ul."
"B0594","P-1313-00435","Zápy-"
"B0595","P-1313-00976","Zápy-Velká strana"
"B0596","P-1313-00445; AN – 1114; ADC-15306","Zápy-intravilán"
"B0597","ADC-15350","Zápy-Na příčce"
"B0598","ADC-15335","Zápy-"
"B0599","JV-1433","Zásmuky-Za pivovarem"
"B0600",NA,"Zdiby-Na Brnky"
"B0601","P-1313-00815","Zeleneč-K potoku"
"B0602","P-1242-00052","Zlatníky u Prahy-Za zahradami"
"B0603","PD-JC-1338","Zliv u Libáně-"
"B0604","ADC-10046","Zlončice-Nad hájem"
"B0605","ADC-10049","Zlončice-Mezi dubci"
"B0606","ADC-10050","Zlončice-"
"B0607","ADC-16214","Žabonosy-Za dvorem"
"B0608","JV-1443","Ždánice u Kouřimi-U dvora Běšínova"
"B0609","P-1341-00013","Žehušice-Hlavní ul."
"B0610","P-0334-00326; P-0334-00364","Židněves-"
"B0611","P-1341-00280","Žleby-kamenolom"
"B0612",NA,"Týnec u Dobrovice-U Ctiměřic"
"B0613",NA,"Jaroměř-Přední Dolce"
"B0614",NA,"Vysoké Mýto-Za pivovarem"
"M0001","24-24-16/47","Alojzov u Prostějova-Frolinková"
"M0002","24-24-16/46","Alojzov u Prostějova-Horní Golštýn"
"M0003",NA,"Alojzov u Prostějova-Malý Mitrov"
"M0004","24-24-16/49","Alojzov u Prostějova-mezi intravilánem a lesem"
"M0005","180","Altmanns-Untern Stein"
"M0006","412","Altruppersdorf-"
"M0007","642","Angern an der March-Felbergau"
"M0008","534","Angern an der March-Marchfeld"
"M0009","24-43-20/1","Archlebov-Maliny"
"M0010","836","Asparn an der Zaya-Schwaze Lacke"
"M0013",NA,"Babice u Šternberka-Dlouhé"
"M0014","FT9","Bačice-Padělky"
"M0015","24-33-16/4","Bačice-Pode vsí"
"M0016","FT438","Bačkovice-Za mlýnem"
"M0017",NA,"Bánov-U Zbela"
"M0018","FT156","Bantice-Am Berg"
"M0019","650","Baumgarten an der March-Bienenstand"
"M0020","13","Baumgarten an der March-Kirchenfeld"
"M0021","24-24-13/3","Bedihošť-cukrovar"
"M0022","24-24-13/5","Bedihošť-Dolní padělky"
"M0023","24-24-13/4","Bedihošť-Václavovice"
"M0024","FT282","Bedřichovice-Malé pole"
"M0025","FT191","Bedřichovice-Zlámaniny"
"M0026","34-11-02/2","Běhařovice-Za kostelem"
"M0027","34-11-02/2","Běhařovice-Za kostelem II"
"M0028",NA,"Bělov-Horní pole"
"M0029",NA,"Beňov-Dolní újezd"
"M0031","373","Bernhardsthal-Aulüssen"
"M0032","397","Bernhardsthal-Sandgrube"
"M0033","334","Bernhardsthal-Werlehen"
"M0034","25-31-06/4","Bezměrov-hliník"
"M0035",NA,"Bezměrov-Hrubé teruty"
"M0036","25-13-25/1","Bílavsko-Chlum"
"M0037","25-13-25/4","Bílavsko-Nový trávník"
"M0038","24-41-16/4","Bílovice nad Svitavou-Hradisko"
"M0039","24-23-05/3","Bílovice u Prostějova-Hrad u Bílovic"
"M0040","24-24-01/18","Bílovice u Prostějova-Meziluží"
"M0041",NA,"Bílovice u Prostějova-Padělek"
"M0042",NA,"Bílovice u Uherského Hradiště-Padělky u boru"
"M0043","24-21-07/3","Biskupice u Jevíčka-U zastávky"
"M0044","FT453","Bítov-Pískoviště u borovic"
"M0045","FT410","Blanné I"
"M0046","24-24-04/2","Blatec-cihelna U Kocandy"
"M0047","23-44-23/2","Blatnice IV"
"M0048",NA,"Blatnice pod Svatým Antonínkem-Sv. Antoníček"
"M0049","23-44-23/3","Blatnice-Padělky"
"M0050","23-44-23/1","Blatnice-U lesa Ochoz"
"M0051","23-44-24/32","Blatnice-U spálených padělků"
"M0052","FT91","Blišice-Přídanky"
"M0053","24-34-25/7","Blučina-Cezavy"
"M0054","24-34-20/16","Blučina-Dlouhé"
"M0055","FT90","Blučina-Spodní Kolberky"
"M0056","24-34-25/13","Blučina-Štumberky"
"M0057","24-34-04/24","Bohunice-Kamenice"
"M0058","24-44-22/20","Bohuslavice u Kyjova-Na skalách"
"M0059","FT150","Bohuslavice u Kyjova-Šotnery"
"M0060","24-44-22/3","Bohuslavice u Kyjova-U tvrze"
"M0061","FT29","Bohušice-Bohušický rybník"
"M0062","FT240","Bohušice-návrší nad Rokytkou"
"M0063","23-44-19/6","Bohušice-U Blatnické křižovatky"
"M0064","23-44-18/1","Bohušice-U lomu"
"M0065","FT411","Bohušice-U Ouvaru"
"M0066","FT220","Bohutice-za zámkem"
"M0067","FT494","Bojanovice u Znojma-Kněžské"
"M0068","33-22-15/4","Bojanovice u Znojma-Vesky"
"M0069","34-21-08/4","Boleradice-Kopanina"
"M0070","FT61","Boleradice-U chaty"
"M0071","24-43-23/4","Borkovany-Veselá hora"
"M0072","34-13-04/1","Borotice nad Jevišovkou-Nad dvorem"
"M0073","24-44-20/5","Boršice u Buchlovic-Močidla"
"M0074","24-14-19/13","Bořitov-Na křibě"
"M0075","24-14-14/11","Bořitov-Perná"
"M0076","24-14-14/13","Bořitov-Perná, sad"
"M0077","24-14-14/6","Bořitov-Písky"
"M0078","24-14-19/15","Bořitov-U dálnice"
"M0079","24-14-19/17","Bořitov-U hliníku"
"M0080",NA,"Boskovice-Mánesova"
"M0081","24-14-10/28","Boskovice-Masarykovo nám."
"M0082","24-14-10/7","Boskovice-Na dlouhých"
"M0083","24-23-01/3","Boskovice-Pod lipníky"
"M0084","33-22-10/2","Boskovštejn-K nové louce"
"M0085","FT397","Boskovštejn-Písařovicovo pole nad rybníkem"
"M0086","FT463","Boskovštejn-Pod zahradama"
"M0087","33-22-10/1","Boskovštejn-Smoha"
"M0088","33-22-09/6","Boskovštejn-Výhon"
"M0089","24-34-03/19","Bosonohy-Cihelna"
"M0090","24-34-03/20","Bosonohy-Dlouhý padělky"
"M0091","24-34-03/21","Bosonohy-Hradisko"
"M0092","24-43-23/9","Bošovice-Galaše"
"M0093","24-43-23/12","Bošovice-Příděl u háječka"
"M0094","34-13-05/2","Božice u Znojma- Kolonie u dvora"
"M0095",NA,"Božice-Na ostrůvku"
"M0096","24-44-07/22","Brankovice-Kyniska"
"M0097","24-44-07/17","Brankovice-u železniční stanice"
"M0098","FT197","Bratčice-Půllány k Mělčanům"
"M0099",NA,"Bratčice-Půllány k Mělčanům (KNP)"
"M0100","FT324","Brněnské Ivanovice-Panský lán"
"M0101","FT52","Brněnské Ivanovice-U lišek"
"M0102","14-44-18/1","Brníčko u Zábřeha-Gartenanger"
"M0103","14-44-18/1","Brníčko-intravilán"
"M0104","14-44-18/1","Brníčko-obec"
"M0105","24-34-04/3","Brno-Město-Bašty"
"M0106","24-34-04/3","Brno-Město-Dvořákova"
"M0107","34-12-23/1","Brod nad Dyjí-Krátké loučky"
"M0108","FT239","Brod nad Dyjí-Pod silnicí"
"M0109","24-42-02/19","Brodek u Prostějova-Hájek"
"M0110","24-42-02/21","Brodek u Prostějova-Hůrka"
"M0111","24-24-22/11; 24-24-22/13","Brodek u Prostějova-Lískovec"
"M0112",NA,"Brodek u Prostějova-Za zámkem"
"M0113",NA,"Brumovice-Brumovické úlehle"
"M0114","34-23-14/19","Břeclav-Přední čtvrtky"
"M0116","FT268","Březník-Klínky"
"M0117","FT302","Březník-Kosův brodek"
"M0118","FT412","Březník-Nad Výhonem"
"M0119","FT267","Březník-Střední hon"
"M0120","FT161","Březník-Zadní hon"
"M0121",NA,"Březolupy-Čertoryje"
"M0122",NA,"Březolupy-Pastvisko"
"M0123","FT413","Břežany u Znojma-Sporná pole"
"M0124","24-34-16/2","Budkovice-Myslivárna"
"M0125","FT199","Budkovice-Na zadních"
"M0126","24-34-16/8","Budkovice-Pod Holým kopcem"
"M0127","25-11-11/16","Bukovany u Olomouce-Ohrady"
"M0128","34-23-02/2","Bulhary-Au Äcker"
"M0129","34-23-07/3","Bulhary-Gajdošova cihelna"
"M0130","34-23-02/7","Bulhary-Nad sklepy"
"M0131","3","Bullendorf-Wiesental"
"M0132","24-14-19/1","Býkovice-Příčníky"
"M0133","FT392","Býkovice-U obrázku"
"M0134","FT280","Bystrc-Na pile"
"M0135","24-32-23/16","Bystrc-Rakovec"
"M0136","FT11","Bystrc-U buku"
"M0137","24-32-23/17","Bystrc-Zadní dlouhé"
"M0138","24-24-03/3","Bystročice-nový kravín"
"M0139","24-22-23/12","Bystročice-U Topolánků"
"M0140",NA,"Cetechovice-okraj obce"
"M0141","FT369","Ctidružice-Stejskalovo pole"
"M0142","FT399","Ctidružice-U kříže k Pavlicím"
"M0143","33-22-03/3","Častohostice-Nivky"
"M0144","33-22-03/7","Častohostice-Stráž"
"M0145","24-24-07/5","Čechovice-Díly u Hloučely"
"M0146","24-24-07/23","Čechovice-Pololání"
"M0147","24-24-11/16","Čechovice-Záhoří-Čechovsko"
"M0148","24-24-08/12; 24-24-08/8; 24-24-08/11","Čechůvky-Kopaniny"
"M0149","24-22-21/6","Čechy pod Kosířem-Pod Brusem"
"M0150","24-21-25/5","Čechy pod Kosířem-U Hluchova"
"M0151","24-21-25/5","Čechy pod Kosířem-U vazu"
"M0152","24-22-21/25","Čechy pod Kosířem-Za dvorem"
"M0153",NA,"Čekyně-Žalkov"
"M0154","24-24-18/7","Čelčice-Louky"
"M0155","24-14-19/34","Černá Hora-intravilán"
"M0156","24-14-20/15","Černá Hora-Porčův mlýn"
"M0157","24-14-19/32","Černá Hora-Selkov"
"M0158","24-14-19/29","Černá Hora-Zaryplovy"
"M0159","FT247","Černín-Nad silnicí"
"M0160","24-32-14/1","Česká-Vrbky"
"M0161","FT357","Čučice-Milošov"
"M0162","FT235","Dalešice-U dominka"
"M0163","24-43-24/12","Dambořice-Kluče"
"M0164",NA,"Dambořice-Spálený"
"M0165","24-43-24/13","Dambořice-Vysoká"
"M0166",NA,"Dambořice-Za dvorem"
"M0167","24-41-10/7","Dědice u Vyškova-cihelna"
"M0168","24-41-10/2","Dědice u Vyškova-Kozí horka"
"M0169","24-41-15/10","Dědice u Vyškova-Legerní pole"
"M0170","24-41-15/11","Dědice u Vyškova-Letní pole"
"M0171","24-41-15/10","Dědice u Vyškova-Za parkem"
"M0172","24-42-11/3","Dědice u Vyškova-Za zbrojovkou"
"M0173","14-44-11/17","Dědinka-U lípy"
"M0174","FT439","Dešov-Příčný"
"M0175",NA,"Dešov-Řepták"
"M0176",NA,"Dešov-U Vlčáku"
"M0177","24-24-17/21","Dětkovice u Prostějova-Skaličníky"
"M0178","24-24-17/26","Dětkovice u Prostějova-Široké šiborovice"
"M0179","24-24-17/24","Dětkovice u Prostějova-Za zahradami"
"M0180",NA,"Devínska Nová Ves-Kaštieľ"
"M0181",NA,"Devínska Nová Ves-Útočnica"
"M0182","34-21-07/4","Diváky-Burberk"
"M0183","34-21-08/5","Diváky-Díly v zelách"
"M0184","FT326","Diváky-Nedánov"
"M0185","34-21-02/3","Diváky-Nivy pod Svárovem"
"M0186","FT328","Diváky-Polejtně"
"M0187","FT330","Diváky-Porgartně"
"M0188","FT477","Diváky-Stará hora"
"M0189","FT478","Diváky-U kravína"
"M0190",NA,"Divoky-Žernová"
"M0191","25-13-12/6","Dluhonice-Dolní újezd"
"M0192","24-24-22/18","Dobrochov-Pod širokou"
"M0193",NA,"Dobrotice-Příčky od souhrad"
"M0194",NA,"Dobšice u Znojma-Léry"
"M0195","FT55","Dobšice u Znojma-Mezi potoky"
"M0196",NA,"Dobšice u Znojma-V od obce"
"M0197",NA,"Dojč-Jasenové"
"M0198",NA,"Dolany u Olomouce-kostel sv. Matouše"
"M0199","24-22-10/8","Dolany u Olomouce-Za Benešovo"
"M0200","FT336","Dolní Dubňany-Na čtvrtích"
"M0201",NA,"Dolní Němčí-Kráčinky"
"M0202",NA,"Dolní Němčí-Záhumní"
"M0203","14-44-13/3","Dolní Sukolom-cihelna"
"M0204","14-44-13/4","Dolní Sukolom-obec"
"M0205","14-44-13/3","Dolní Sukolom-Pirnikberg"
"M0206","14-44-13/6","Dolní Sukolom-V lukách"
"M0207",NA,"Dolní Ves-Za Suhým"
"M0208","FT57","Dolní Věstonice-JZD"
"M0209","34-12-20/2","Dolní Věstonice-Na pískách"
"M0210","34-21-21/3","Dolní Věstonice-Nad silnicí"
"M0211","34-12-25/8","Dolní Věstonice-štěrkovna"
"M0212","34-21-21/1","Dolní Věstonice-Věstonická brána"
"M0213",NA,"Domanín-Domanínský kopec"
"M0214","FT72","Domčice-intravilán"
"M0215",NA,"Doubrava u Březiny-Valy"
"M0216","14-43-25/8","Doubravice nad Moravou-Kouřilka"
"M0217","24-14-15/12","Doubravice nad Svitavou-intravilán"
"M0218","24-22-22/24","Drahanovice-U Lusthózu"
"M0219","24-32-03/7","Drásov-Díly pod Horkami II"
"M0220","24-32-03/4","Drásov-Keblány"
"M0221","34-12-23/3","Drnholec-Holenická pole"
"M0222",NA,"Drnholec-Lidická ul."
"M0223","34-12-23/4","Drnholec-Malé hajdy"
"M0224",NA,"Drnholec-Mrchoviště"
"M0225","24-41-15/5","Drnovice u Vyškova-Adlerova mez"
"M0226","24-41-15/3","Drnovice u Vyškova-Budonická louka"
"M0227","24-41-15/30","Drnovice u Vyškova-Horka"
"M0228","24-41-15/2","Drnovice u Vyškova-Kněží háj"
"M0229","24-41-15/4","Drnovice u Vyškova-Končiny"
"M0230","24-41-15/6","Drnovice u Vyškova-Kopaniny u lomu"
"M0231","24-41-15/43","Drnovice u Vyškova-Křivda"
"M0232","24-41-15/33","Drnovice u Vyškova-Podsedky"
"M0233","24-41-15/29","Drnovice u Vyškova-Přídanky"
"M0234","24-41-15/23","Drnovice u Vyškova-Za Lesní správou"
"M0235","542","Drösing-Apfering"
"M0236","86","Drösing-Hutmannsdorf"
"M0237","543","Drösing-Meierheide"
"M0238","547","Drösing-Röhringseewiesen"
"M0239","548","Drösing-Röhringseewiesen"
"M0240","544, 545","Drösing-Steinafurth"
"M0241","552","Drösing-Unteres inneres Feld"
"M0242","24-42-01/17","Drysice-Dolní Radlikus"
"M0243","24-42-01/16","Drysice-Na kopaninách"
"M0244",NA,"Držovice na Moravě-Bezděkov"
"M0245","24-24-08/3","Držovice na Moravě-Díly odvrahoviční"
"M0246","24-24-08/4","Držovice na Moravě-Háj"
"M0247","24-24-07/15","Držovice na Moravě-Horka"
"M0248","24-24-07/20","Držovice na Moravě-Loučky"
"M0249","24-24-07/16","Držovice na Moravě-Panský díl"
"M0250","24-24-07/17","Držovice na Moravě-Pastviska"
"M0251","24-24-08/3","Držovice na Moravě-U hřbitova"
"M0252",NA,"Držovice na Moravě-Vinohrádky"
"M0253","24-42-08/4","Dřevnovice-intravilán"
"M0254",NA,"Dřevohostice-cihelna"
"M0255","25-13-14/9","Dřevohostice-Pláňava"
"M0256",NA,"Dub nad Moravou-Farská zahrada"
"M0257","24-24-10/5","Dub nad Moravou-obec"
"M0258","24-24-10/3","Dub nad Moravou-Tučapy"
"M0259","24-24-03/5","Dubany na Hané-Vršiny"
"M0260","34-22-12/16","Dubňany-Jarohněvický rybník"
"M0261","34-22-12/10","Dubňany-Kostelisko"
"M0262","34-22-12/5","Dubňany-Nivky"
"M0263",NA,"Dubovce-Pod Otrč horou"
"M0264",NA,"Dúbravka-Veľá lúka"
"M0265","FT97","Dukovany-Pařezy"
"M0266",NA,"Dürnkrut-Am Mühlgraben"
"M0267","554","Dürnkrut-Neue Wiesen"
"M0268","34-13-02/23","Dyje-bezejmenná ostrožna"
"M0269","34-13-02/15","Dyje-Sad u nádraží"
"M0270","FT340","Džbánice-Marhulky"
"M0271","FT341","Džbánice-Zahrady pod hájem"
"M0272","679","Ebendorf-Edel Äcker"
"M0273","30","Ebendorf-Hühnerkratzer"
"M0274","932, 945","Ebendorf-Schellenberg"
"M0275","14","Eichenbrunn-Erntdankkreuz"
"M0276","A12","Elsern-Wartlüß"
"M0277","794","Falkenstein-Burgberg"
"M0278","726","Falkenstein-Schanzboden"
"M0279","276, 277","Friebritz-Fallehergraben"
"M0280","76","Friebritz-Frauenberg"
"M0281","190","Friebritz-westlich Teichbreite"
"M0282","336","Fronsburg-Entersgraben"
"M0283","336","Fronsburg-Hinterfeld"
"M0284","811, 841","Fugnitz-Geraser Feld"
"M0285","68, 69","Gaiselberg-Hausberg"
"M0286","972","Gaiselberg-Nr. 80"
"M0287",NA,"Gajary-Bystrá II"
"M0288",NA,"Gajary-Jazierkové"
"M0289",NA,"Gajary-Pod lipou"
"M0290",NA,"Gajary-Prašivá"
"M0291",NA,"Gajary-Radlica"
"M0292",NA,"Gajary-Veselé"
"M0293","219","Gaubitsch-Alpenberg"
"M0294","94","Gaubitsch-Hanfthal"
"M0295","319","Gaubitsch-Reifling"
"M0296","A9","Gaubitsch-südlich Ort"
"M0297","510","Gaweinstal-Junggebirge"
"M0298","19","Gnadendorf-Im Vorrain"
"M0299","416","Gnadendorf-südwestlich hinter der Ortschaft"
"M0300","240","Grafensulz-Haltergarten"
"M0302","33-22-09/8","Grešlové Mýto-Mírovec"
"M0303","FT483","Grešlové Mýto-Pode mlýnem"
"M0304","33-22-09/7","Grešlové Mýto-V sazích u kapličky"
"M0305","754","Großschweinbarth-"
"M0306","755","Großschweinbarth-Freibergen"
"M0307",NA,"Grub an der March-Äußere Wiesenäcker"
"M0308","35","Grub an der March-Haspelberg"
"M0309",NA,"Grub an der March-Unterhaspel"
"M0310","795","Guttenbrunn-Sauberg"
"M0311","24-41-19/12","Habrovany-Blatice"
"M0312","24-41-24/23","Habrovany-Díly za dráhou"
"M0313","24-41-24/1","Habrovany-u zámku"
"M0315","806","Hagenberg-Hinter der Zeil"
"M0316","862","Hanfthal-Walkenhübel"
"M0317",NA,"Haňovice-Dolní konec"
"M0318","274","Hauskirchen-Unterfeld"
"M0319","35-11-05/12","Havřice-Nad zahrádky"
"M0320","24-22-19/11","Hejčín-Mrštíkovo náměstí"
"M0321","949","Herrnbaumgarten-Auf der Breiten"
"M0322","948","Herrnbaumgarten-Buchholzacker"
"M0323","924","Herrnbaumgarten-Tennauwald"
"M0324",NA,"Hlboké-Padzelky"
"M0325",NA,"Hlboké-Sochorovské"
"M0326","25-13-09/14","Hlinsko-Nad Zbružovým"
"M0327","25-13-09/16","Hlinsko-Podhůra"
"M0328","25-13-09/15","Hlinsko-U větrného mlýna"
"M0329","25-13-09/15","Hlinsko-Za mlynářovým"
"M0330",NA,"Hlivice-U vepřína"
"M0331","FT343","Hluboké Mašůvky-Hradisko"
"M0332","34-11-16/1","Hluboké Mašůvky-Nivky"
"M0333","24-23-05/13","Hluchov-Podkahance"
"M0334",NA,"Hluchov-Zadní stříbrné"
"M0335","35-11-08/5","Hluk-Paligr"
"M0336",NA,"Hnanice IV"
"M0337","FT294","Hnanice-Hraběcí hora"
"M0338","33-24-10/2","Hnanice-U roty"
"M0339","24-22-23/2","Hněvotín-Nový trávník"
"M0340","24-22-23/3","Hněvotín-U struhy"
"M0341","14-44-24/1","Hnojice-Mošťanky"
"M0342","591","Hobersdorf-Schloßäcker"
"M0343","34-13-03/1","Hodonice-Loydova cihelna"
"M0344","FT282","Hodonice-Na vinici"
"M0345","872","Hohenau-"
"M0346","926","Hohenau-"
"M0347","950","Hohenau-Föhrenhügel"
"M0348","558","Hohenau-Gestüt Wiese"
"M0349","559","Hohenau-Gestüt Wiese"
"M0350","896","Hohenau-Hochleiten"
"M0351","560","Hohenau-Hrutka"
"M0352","24-34-10/16","Holásky-Písníky"
"M0353","24-43-03/6","Holubice-Pod Holubskou"
"M0354","24-41-22/22","Horákov-Čtvrtky"
"M0355","24-41-21/6","Horákov-Horka"
"M0356","24-41-22/16","Horákov-Macocha"
"M0357","24-41-22/26","Horákov-Ořechová seč"
"M0358","24-41-22/24","Horákov-Remíse"
"M0359","1027","Hörersdorf-Gaisstall"
"M0360","24-22-14/5","Horka nad Moravou-Spodní kaluhy"
"M0361",NA,"Horky u Stínavy-Na Křemeli"
"M0362","FT120","Horní Dunajovice-Kuchyňkova cihelna"
"M0363","FT346","Horní Dunajovice-Na vinohradské"
"M0364","FT345","Horní Dunajovice-Na záhumenicích"
"M0365","14-44-13/8","Horní Sukolom-Lihovarské"
"M0366","23-44-08/3","Horní Újezd u Třebíče-Mejtnice"
"M0367","FT391","Horní Újezd u Třebíče-Panské"
"M0368","34-12-25/9","Horní Věstonice-Na Lukách"
"M0369","FT346","Hostěradice na Moravě-JV obce"
"M0370","33-22-04/1","Hostim-Amerika"
"M0371","33-22-04/3","Hostim-pole nad Radkovským mlýnem"
"M0372","23-44-24/5","Hostim-Těchovec"
"M0373","33-22-04/4","Hostim-Za Ovčínem"
"M0374","34-22-11/9","Hovorany-Újezdy"
"M0375","24-42-02/12","Hradčany u Prostějova-Nad mlýnem"
"M0376","24-32-07/8","Hradčany u Tišnova-Pod horkou"
"M0377",NA,"Hradčovice-Újezdy"
"M0378","25-31-06/2","Hradisko-Hradisko"
"M0379","24-33-17/1","Hrotovice-Mstěnice"
"M0380","FT162","Hrotovice-Na panské nivě"
"M0381","24-33-12/4","Hrotovice-Votavova cihelna"
"M0382","35-11-17/2","Hroznová Lhota-Čtvrtky"
"M0383","24-24-13/15","Hrubčice-Košíky"
"M0384","24-24-13/16","Hrubčice-Nebnahy"
"M0385","24-33-20/2","Hrubšice-intravilán"
"M0386","FT415","Hrubšice-Nad řekou"
"M0387",NA,"Hruška-Nivky"
"M0388","24-34-24/9","Hrušovany u Brna-SV intravilán"
"M0389",NA,"Hrušovany u Brna-U tří mostů"
"M0390",NA,"Hulín-Padělky, pískovna"
"M0391","25-31-07/1","Hulín-U Isidorka"
"M0392","25-31-08/10","Hulín-U obrázku"
"M0393","25-31-08/2","Hulín-Višňovce"
"M0394","34-21-06/5","Hustopeče u Brna-Příčky"
"M0395",NA,"Hustopeče-dálniční nájezd"
"M0396",NA,"Huštěnovice-Tegly"
"M0397","FT12","Hvozdec u Veverské Bitýšky-Proti skalce"
"M0398","24-24-21/12","Chaloupky u Otaslavic-Obrova noha"
"M0399","24-24-16/1","Chaloupky u Otaslavic-Žákovec"
