"id","orig_id","site"
"B0110","P-1242-00008; PZ1015","Dolní Břežany-U struh"
"B0111","P-1242-00338","Dolní Jirčany-Nad školkou"
"B0112","ADC-31095; P-1224-00019","Dolní Počernice-Na vinici"
"B0113","P-1224-01574","Dolní Chabry-Do rybníčků"
"B0114","AA1185","Dolní Chabry-Cihelna pana Malinskeho"
"B0115","PD-JC-1056; PD-JC-1057","Doubrava-Svatogothardská Lhota"
"B0116",NA,"Drobovice-křižovníci"
"B0117",NA,"Dřenice"
"B0118","ADC-11316","Dřevčice u Brandýsa nad Labem-"
"B0119","P-1224-00546; P-1224-00547","Dřevčice u Brandýsa nad Labem-Na čtrnácti"
"B0120","ADC-11332; ADC-12166","Dřevčice u Brandýsa nad Labem-Na paterých"
"B0121","ADC-11360; AN – 1118","Dřevčice u Brandýsa nad Labem-Za zvonicí"
"B0122","ADC-09830","Dřínov-Na provázku"
"B0123","DN-1018","Dušníky nad Vltavou-Na špalkách"
"B0124",NA,"Dvory u Nymburka-u potoka Liduška"
"B0125","P-1224-00205; ADC-11001","Ďáblice-Řepná ul."
"B0126",NA,"Ďáblice-K Letňanům"
"B0127","ADC-11612; ADC-11632; ADC-11628","Ďáblice-Legionářů"
"B0128","P-1224-00972","Ďáblice-Nové Ďáblice"
"B0129","P-1224-00275","Ďáblice-křižovatka Cínovecká-Kostelecká"
"B0130",NA,"Habřina-Prašivka"
"B0131","P-1331-00032","Hlaváčova Lhota-u dvora Broučkov"
"B0132","P-1332-00072","Hlízov-Močidla"
"B0133","ADC-16245","Hlízov-"
"B0134","P-1224-01453; P-1224-01361","Hloubětín-Nepelova"
"B0135","AA1245","Hloubětín-"
"B0136","P-1321-00067","Hlušičky-U Bydžovského"
"B0137",NA,"Hnanice pod Troskami-Těhníkova skála"
"B0138","P-1322-00140","Hněvčeves-Pod kostelem"
"B0139","P-1322-00142","Hněčeves-nádraží"
"B0140","P-1322-00100","Hněvčeves-U březiny"
"B0141","P-1322-00147; HK-7074","Hněčeves-"
"B0142","OS_JC_77003; P-0334-00042","Holín-Jandice"
"B0143",NA,"Holohlavy"
"B0144","P-1322-00105; P-1322-00002","Holohlavy-severně od obce"
"B0145","P-1322-00190","Holohlavy_Na rozcestí"
"B0146","P-1322-00086","Holohlavy_teplárna"
"B0147","P-0334-00032","Horní Bousov-U výkrmny kachen"
"B0148","NA-JT-1211; NA-JT-5138; NA-JT-7096; NA-JT-1210","Horní Dolce-U kapličky"
"B0149","NA-JT-1209; NA-JT-7095","Horní Dolce-"
"B0150","ADC-06767","Horní Lochov-"
"B0151",NA,"Horní Lochov-"
"B0153","ADC-14538","Horní Měcholupy-Na Vartě"
"B0154","P-1224-01065","Horní Počernice-Na chvalce"
"B0155","XX-1079; P-1224-01046","Horní Počernice-Na tarase"
"B0156",NA,"Horní Sloupnice"
"B0157","ML-1224","Horní Stakory-U bažantnice"
"B0158","P-1341-00032","Horušice-Duna"
"B0159","P-1332-00038; ADC-16518","Hořany u Kutné Hory-"
"B0160","ADC-15535","Hořany u Poříčan-"
"B0161","P-1322-00119","Hořenice"
"B0162","NA-JT-1213; ADC-15890","Hořenice-U pískoviště"
"B0163","AN – 1031","Hoštice u Vodochod-Březí"
"B0164","AN – 1032","Hoštice u Vodochod-Na rovišťatech"
"B0165","AN - 1030","Hoštice u Vodochod-Na rovišťatech"
"B0166","AA7004","Hostivař-K jezeru"
"B0167","AA5002; AA1011","Hostivař-stará Hostivař"
"B0168",NA,"Hostivař-býv. pískovna"
"B0169","P-1324-00222; P-1324-00191; P-1324-00111; P-1324-00034; P-1324-00077; HK-1095;","Hradec Králové-centrum"
"B0170",NA,"Hrubá Skála-Hlavatá skála"
"B0171","AN – 1036","Husinec u Řeže-"
"B0172","NA-JT-7067; NA-JT-7066","Hustířany-Velká Hradečnice"
"B0173","NA-JT-1120","Hustířany-Na Merklovém"
"B0174","NA-JT-5085","Hustířany-Na provázcích"
"B0175","OT-7006","Hvězda-"
"B0176","P-1314-00227","Chleby-U Havranska"
"B0177",NA,"Chloumek-Na hrádku"
"B0178","ADC-30407","Chloumek-Švédské šance"
"B0179","DN-1032","Chlumín-Na dymáku"
"B0180","P-1322-00176","Chlum u Hradce Králové-Na vrších"
"B0181",NA,"Chotouchov-zahrada p. Horáka"
"B0182",NA,"Chotýš"
"B0183","P-1331-00013","Chotýš-nad úvozovou cestou"
"B0184",NA,"Chrast-K Chrašicícm"
"B0185",NA,"Chrast"
"B0186","P-1313-01146","Chrášťany u Českého Brodu-bioplynová stanice"
"B0187","P-1342-00412","Chrudim-Nad železniční zastávkou"
"B0188","P-1342-00131","Chrudim-Olbrachtova ul"
"B0189","P-1342-00448","Chrudim-Píšťovy"
"B0191","P-1342-00220; P-1342-00219; ADC-17202; P-1342-00146; OS_CR_77012; ADC-17198","Chrudim-Pod požární zbrojnicí"
"B0192","OS_CR_11008; P-1342-00133; ADC-30431","Chrudim-Pumberky"
"B0193","P-1342-00293; ADC-17178; P-1342-00149","Chrudim-Staré město"
"B0194","ADC-17308","Chrudim-U kostela Sv. Kříže"
"B0195","ADC-17157","Chrudim-Wiesnerova továrna"
"B0196",NA,"Chudonice-"
"B0197",NA,"Chyjice-V lohovicích"
"B0198","P-1323-00039; P-1323-00032","Chýšť-Vražednice"
"B0199","P-1341-00075","Jakub-K Novému rybníku"
"B0200","NA-JT-7319","Jaroměř-Dolní dolce"
"B0201","P-1322-00385; NA-JT-5144; NA-JT-7308; NA-JT-7307; NA-JT-7305; NA-JT-7306","Jaroměř-Dolní Dolce-Zavadilka"
"B0202","ADC-15796; NA-JT-1261; P-1322-00036","Jaroměř-Na cihelnách"
"B0203","NA-JT-1279","Jaroměř-Na Vinicích"
"B0204","AN – 7010; P-1224-00503; ADC-11236; ADC-12163","Jenštejn-Na vartě"
"B0205","ADC-11251; ADC-11261","Jenštejn-Na Stráni"
"B0206","P-1224-00031; ADC-11228; ADC-12161","Jenštejn-"
"B0207","PD-JC-1101","Jeřice-V Motsečkách"
"B0208","PD-JC-7004","Jeřice-U studánky"
"B0209","P-0343-00036","Jičín-nemocnice"
"B0210","P-1313-00951","Jirny-Na Kaštance"
"B0211","ADC-10093","Jiřice u Kostelce nad Labem-"
"B0213","P-0343-00038; P-0343-00039","Kbelnice-Horka"
"B0214",NA,"Kbelnice-úvoz k Bílému mlýnu"
"B0215","ADC-11721; P-1224-00954; ADC-11717; ADC-11725; ADC-11730","Kbely-cihelna"
"B0216","AA1496","Kbely-"
"B0217","P-1224-01221; ADC-11713; ADC-11718","Kbely-ZŠ Albrechtická"
"B0218","P-1224-01401; P-1224-01408","Klecany-Na hradišti"
"B0219","P-1224-01251","Klecany-zámecká zahrada"
"B0220","AN – 1047","Klecany-Na skalkách"
"B0221",NA,"Klučov u Českého Brodu-Na ptáčku"
"B0222",NA,"Klučov u Českého Brodu-"
"B0223",NA,"Kobylisy-Kobyliské nám."
"B0224","AA1479","Kobylisy-U Ženíškovy cihelny"
"B0225",NA,"Kojice-Za domkem"
"B0226",NA,"Kolín-Ve vrbičkách"
"B0227",NA,"Kolín-Šťáralka"
"B0228",NA,"Kolín-Lučební závody Draslovka"
"B0229","P-1332-00066; ADC-16501","Kolín-Plynárenská"
"B0230","ADC-16476","Kolín-Syntezia"
"B0231","JV-1196","Kolín-U zálabské Prachárny"
"B0232",NA,"Kolín VII"
"B0233","P-0343-00233","Konecchlumí-U dubu"
"B0234","OS_JC_1076","Kopidlno-ČOV"
"B0235","DV8021","Kornice-Hlavňov"
"B0236","P-0333-00082","Kosmonosy-"
"B0237","ADC-10114","Kostelec nad Labem-Blatenská"
"B0238","ADC-10106","Kostelec nad Labem-cukrovar"
"B0239","ADC-10147","Kostelec nad Labem-Na pískách"
"B0240","P-1413-00027; P-1413-00029","Kostelec nad Orlicí-Hálkova ul."
"B0241","ADC-30562","Kounice-Na Skále"
"B0242","P-1331-00145","Kouřim-Molitirov"
"B0243","ADC-16151","Kouřim-U cukrovaru"
"B0244","ADC-30568","Kouřim-Stará Kouřim"
"B0245","JV-1217","Kouřim-V Dolnici"
"B0246","ADC-16148","Kouřim-U svatého Jiří"
"B0247",NA,"Kovanice-intravilán"
"B0248","P-1323-00049; P-1323-00062;","Kratonohy-Požárský"
"B0249",NA,"Krč-Společenská zahrada"
"B0250","P-1312-00004","Křinec-Za mostem"
"B0251","P-1341-00333","Krchleby u Čáslavi-Na Lomenici"
"B0252","P-1331-00015","Krupá u Kostelce nad Černými Lesy-Syneč"
"B0253","P-1331-00017","Krupá u Kostelce nad Černými Lesy-V roklích"
"B0254","P-1331-00018","Krupá u Kostelce nad Černými Lesy-Měchejřík"
"B0255","P-1242-00408","Křeslice-U Fantova mlýna"
"B0256","P-1313-00120","Kšely-"
"B0257","JV-1237","Kšely-"
"B0258","JV-1240","Kšely-Za humny"
"B0259","ADC-16125","Kšely-stavba kravínů"
"B0260","JV-1234","Kšely-V červenkách"
