id,orig_id,region,site,site_note,note,in_analysis
B0046,NA,KH,Bylany u Kutné Hory-Nade vsí,NA,NA,TRUE
B0047,ADC-15172,JC,Bystřice-V bahnech,NA,NA,TRUE
B0048,ADC-06769,JC,Bystřice-Nad Bahny,NA,NA,TRUE
B0049,NA,JC,Cerekvice nad Bystřicí-Za Lužním mlýnem,NA,NA,TRUE
B0050,P-1322-00063,JC,Cerekvice nad Bystřicí-Na kozách,NA,NA,TRUE
B0051,P-1431-00055,SY,Cerekvice nad Loučnou-,"Nad soutokem Kočinského potoka a Loučné, mezi tratí a silnicí Litomyšl-Vysoké Mýto",NA,TRUE
B0052,DV8007; P-1431-00275,SY,Cerekvice nad Loučnou-zemědělské družstvo,NA,NA,TRUE
B0053,KO_OS_5001,KL,Cerhenice-Za dráhou,NA,výzkum ÚAPPSČ,TRUE
B0054,P-1314-00132,KL,Cernenice-Za oborou,NA,výzkum M Kolín,TRUE
B0055,P-1431-00275,KL,Cerhenice-U cukrovaru,NA,NA,TRUE
B0056,NA,KH,Církvice u Kutné Hory-Nad vsí,NA,NA,TRUE
B0057,KH-MA-1103,KH,Církvice u Kutné Hory-Cihelna,NA,NA,TRUE
B0058,NA,PA,Černá za Bory-Žižín,NA,NA,TRUE
B0059,ADC-11005,A9,Čakovice-Kostelecká ul.,NA,NA,TRUE
B0060,ADC-11693,A9,Čakovice-,NA,NA,TRUE
B0061,P-1341-00425; P-1341-00414; P-1341-00416,KH,Čáslav-Nový Čeplov,NA,NA,TRUE
B0062,P-1341-00325,KH,Čáslav-U hřbitova,K Chotusicům,NA,TRUE
B0063,P-1341-00178,KH,Čáslav-Na skále,NA,NA,TRUE
B0064,P-1341-00216; KH-MA-1156,KH,Čáslav-Kalabousek,NA,NA,TRUE
B0065,P-1341-00121,KH,Čáslav-Staré město,Na ostrém rohu,NA,TRUE
B0066,KH-MA-1149,KH,Čáslav-Ke Koudelovu,U Koudelova,NA,TRUE
B0067,KH-MA-1154,KH,Čáslav-Svornost,NA,NA,TRUE
B0068,ADC-30119,KH,Čáslav-Hrádek,NA,NA,TRUE
B0069,ADC-15774; NA-JT-7207; NA-JT-7208; NA-JT-7209; NA-JT-7300,NA,Čáslavky-,Ppč. 74,NA,TRUE
B0070,NA-JT-7304; NA-JT-7303,NA,Čáslavky-cihelna,NA,NA,TRUE
B0071,P-1313-00654,PH,Čelákovice-J.A. Komenského,NA,NA,TRUE
B0072,P-1313-01235; P-1313-01199,PH,Čelákovice-V Rybníčkách,NA,NA,TRUE
B0073,P-1313-00614,PH,Čelákovice-býv. Švejdova cihelna,NA,"Stocký, Pravěk I, 166 BI",TRUE
B0074,P-1313-00615,PH,Čelákovice-S.K. Neumanna,NA,NA,TRUE
B0075,AN – 1090,PH,Čenkov-kamenolom,NA,M. Zápotocká lokalitu označuje jako Veliká Ves,TRUE
B0076,P-1322-00106; ADC-15889; ADC-15889; P-1322-00182,HK,Černožice nad Labem-konzervárna,marmeládovna,NA,TRUE
B0077,OS_HK_7044; P-1322-00366; ADC-15841; HK-1042; HK-1030; HK-1035,HK,Černožice nad Labem-Gen. Svobody,"kulturní dům, Na Stezkách",NA,TRUE
B0078,HK-1040,HK,Černožice nad Labem-Čáslavky,NA,NA,TRUE
B0079,HK-1034,HK,Černožice nad Labem-železnice,NA,NA,TRUE
B0080,NA,A9,Černý Most-jižně od Chlumecké ul.,"Černý most II, dříve k.ú. Kyje",NA,TRUE
B0081,ADC-16488,KL,Červené Pečky-Parkán,NA,NA,TRUE
B0082,JV-1031,KL,Červené Pečky-U nádraží,Panské pole pod nádražím,NA,TRUE
B0083,ADC-16480,KL,Červené Pečky-U panského ovčína,Za ovčínem,NA,TRUE
B0084,ADC-15516,KL,Český Brod-K Dolankám,"cihelna paní Králové, Na cihelně",NA,TRUE
B0085,NA,KL,Český Brod-Klímova cihelna,NA,NA,TRUE
B0086,ADC-30143,JC,Češov-Češovské valy,NA,NA,TRUE
B0087,P-1322-00163,HK,Číbuz-,NA,NA,TRUE
B0088,AN/NB – 1007,NB,Čilec-Pískovna J. Kozla,NA,NA,TRUE
B0089,xy-1129,A8,Čimice-Žalovská ul.,NA,NA,TRUE
B0090,HK-1044,HK,Čistěves-,NA,NA,TRUE
B0091,P-1322-00098; ADC-15925,HK,Čistěves-U německého rybníka,NA,"V literatuře uváděna volutová keramika, jde však o nevýrazný soubor vypíchané keramiky",TRUE
B0092,P-1312-00174,JC,Dětenice-bioplynová stanice,NA,NA,TRUE
B0093,P-0334-00137; ADC-30175,MB,Dneboh-Hrada,NA,hradiště,TRUE
B0094,ML-1198,MB,Dobrovice-Losky,Stará cihelna,NA,TRUE
B0095,NA,HK,Dobřenice-,"parc. č. 154, 155, 683/1, 686/1",NA,TRUE
B0096,NA,HK,Dobřenice-intravilán,parc. č. 272,NA,TRUE
B0097,NA,KO,Dobřichov-Pod Třebickou,NA,NA,TRUE
B0098,P-1322-00238; P-1322-00237,HK,Dohalice-Dohaličky,i k.ú. Mokrovousy,NA,TRUE
B0099,P-1332-00027,KO,Dolany u Červených Peček-závlaha,NA,NA,TRUE
B0100,ADC-16512,KO,Dolany u Červených Peček-,NA,NA,TRUE
B0101,"ADC-16511, P-1332-00028",KO,Dolany u Červených Peček-,poloha III,NA,TRUE
B0102,JV-1072,KO,Dolany u Červených Peček-Malá Vysoká,NA,NA,TRUE
B0103,NA,NA,Dolany u Jaroměře-intravilán,NA,NA,FALSE
B0104,NA-JT-7058,NA,Dolany u Jaroměře-u osady Sebuč,v AMČR jako Chvalkovice,NA,TRUE
B0105,ADC-15892,NA,Dolany u Jaroměře-Nad silnicí,v AMČR jako Svinišťany,NA,TRUE
B0106,ADC-16026,PA,Dolany u Pardubic-Břeština,NA,NA,TRUE
B0107,P-1242-00423,PZ,Dolní Břežany-K Hradišťátku,Za příkopem,ohrazení časný eneolit,TRUE
B0108,P-1242-00081; P-1242-00024,PZ,Dolní Břežany-Kamínek,SV od rybníka Pazderák,NA,TRUE
B0109,P-1242-00022; P-1242-00020; P-1242-00018; P-1242-00010; P-1242-00014,PZ,Dolní Břežany-K Hodkovicům,Za pivovarem,NA,TRUE
B0110,P-1242-00008; PZ1015,PZ,Dolní Břežany-U struh,"Za havránkou, i k.ú Zlatníky u Prahy",NA,TRUE
B0111,P-1242-00338,PZ,Dolní Jirčany-Nad školkou,NA,NA,TRUE
B0112,ADC-31095; P-1224-00019,A9,Dolní Počernice-Na vinici,NA,NA,TRUE
B0113,P-1224-01574,A8,Dolní Chabry-Do rybníčků,NA,NA,TRUE
B0114,AA1185,A8,Dolní Chabry-Cihelna pana Malinskeho,NA,NA,TRUE
B0115,PD-JC-1056; PD-JC-1057,JC,Doubrava-Svatogothardská Lhota,i k.ú. Březovice,NA,TRUE
B0116,NA,KH,Drobovice-křižovníci,Pole p. Havelky z Potěh ppč. 295,NA,TRUE
B0117,NA,CR,Dřenice,NA,NA,TRUE
B0118,ADC-11316,PH,Dřevčice u Brandýsa nad Labem-,Oblast Vinořského potoka,NA,TRUE
B0119,P-1224-00546; P-1224-00547,PH,Dřevčice u Brandýsa nad Labem-Na čtrnácti,NA,NA,TRUE
B0120,ADC-11332; ADC-12166,PH,Dřevčice u Brandýsa nad Labem-Na paterých,NA,NA,TRUE
B0121,ADC-11360; AN – 1118,PH,Dřevčice u Brandýsa nad Labem-Za zvonicí,Hypšova cihelna,NA,TRUE
B0122,ADC-09830,ME,Dřínov-Na provázku,NA,NA,TRUE
B0123,DN-1018,ME,Dušníky nad Vltavou-Na špalkách,NA,NA,TRUE
B0124,NA,NB,Dvory u Nymburka-u potoka Liduška,NA,NA,TRUE
B0125,P-1224-00205; ADC-11001,A8,Ďáblice-Řepná ul.,NA,NA,TRUE
B0126,NA,A8,Ďáblice-K Letňanům,NA,NA,TRUE
B0127,ADC-11612; ADC-11632; ADC-11628,A8,Ďáblice-Legionářů,"Mšenská, Batistova cihelna",NA,TRUE
B0128,P-1224-00972,A8,Ďáblice-Nové Ďáblice,NA,NA,TRUE
B0129,P-1224-00275,A8,Ďáblice-křižovatka Cínovecká-Kostelecká,NA,NA,TRUE
B0130,NA,HK,Habřina-Prašivka,NA,NA,TRUE
B0131,P-1331-00032,KO,Hlaváčova Lhota-u dvora Broučkov,Uváděno jako Třebovle,NA,TRUE
B0132,P-1332-00072,KH,Hlízov-Močidla,NA,NA,TRUE
B0133,ADC-16245,KH,Hlízov-,NA,NA,TRUE
B0134,P-1224-01453; P-1224-01361,A9,Hloubětín-Nepelova,NA,NA,TRUE
B0135,AA1245,A9,Hloubětín-,Pískovny p. Kejre a p. Felixe,NA,TRUE
B0136,P-1321-00067,HK,Hlušičky-U Bydžovského,NA,NA,TRUE
B0137,NA,SM,Hnanice pod Troskami-Těhníkova skála,NA,NA,TRUE
B0138,P-1322-00140,HK,Hněvčeves-Pod kostelem,NA,NA,TRUE
B0139,P-1322-00142,HK,Hněčeves-nádraží,NA,NA,TRUE
B0140,P-1322-00100,HK,Hněvčeves-U březiny,U březinky,NA,TRUE
B0141,P-1322-00147; HK-7074,HK,Hněčeves-,silnice do Sovětic; i k.ú. Sovětice,NA,TRUE
B0142,OS_JC_77003; P-0334-00042,JC,Holín-Jandice,i k.ú. Ohaveč,NA,TRUE
B0143,NA,HK,Holohlavy,NA,NA,TRUE
B0144,P-1322-00105; P-1322-00002,HK,Holohlavy-severně od obce,Vodojem; 1990,NA,TRUE
B0145,P-1322-00190,HK,Holohlavy_Na rozcestí,samoobsluha,NA,TRUE
B0146,P-1322-00086,HK,Holohlavy_teplárna,NA,NA,TRUE
B0147,P-0334-00032,MB,Horní Bousov-U výkrmny kachen,NA,NA,TRUE
B0148,NA-JT-1211; NA-JT-5138; NA-JT-7096; NA-JT-1210,NA,Horní Dolce-U kapličky,NA,NA,TRUE
B0149,NA-JT-1209; NA-JT-7095,NA,Horní Dolce-,NA,NA,TRUE
B0150,ADC-06767,JC,Horní Lochov-,NA,NA,TRUE
B0151,NA,JC,Horní Lochov-,NA,NA,TRUE
B0153,ADC-14538,A,Horní Měcholupy-Na Vartě,NA,NA,TRUE
B0154,P-1224-01065,A9,Horní Počernice-Na chvalce,NA,NA,TRUE
B0155,XX-1079; P-1224-01046,A9,Horní Počernice-Na tarase,NA,NA,TRUE
B0156,NA,UO,Horní Sloupnice,"parc. č. 1593, 1622",NA,TRUE
B0157,ML-1224,MB,Horní Stakory-U bažantnice,NA,NA,TRUE
B0158,P-1341-00032,KH,Horušice-Duna,pískovna,NA,TRUE
B0159,P-1332-00038; ADC-16518,KH,Hořany u Kutné Hory-,NA,NA,TRUE
B0160,ADC-15535,NB,Hořany u Poříčan-,NA,NA,TRUE
B0161,P-1322-00119,NA,Hořenice,NA,NA,TRUE
B0162,NA-JT-1213; ADC-15890,NA,Hořenice-U pískoviště,Dolce,NA,TRUE
B0163,AN – 1031,PH,Hoštice u Vodochod-Březí,V březím,NA,TRUE
B0164,AN – 1032,PH,Hoštice u Vodochod-Na rovišťatech,i k.ú. Klíčany,NA,TRUE
B0165,AN - 1030,PH,Hoštice u Vodochod-Na rovišťatech,NA,NA,TRUE
B0166,AA7004,A10,Hostivař-K jezeru,NA,NA,TRUE
B0167,AA5002; AA1011,A10,Hostivař-stará Hostivař,ul. Mezi potoky,NA,TRUE
B0168,NA,A10,Hostivař-býv. pískovna,NA,pod hradiskem drobné mladé střepy,TRUE
B0169,P-1324-00222; P-1324-00191; P-1324-00111; P-1324-00034; P-1324-00077; HK-1095;,HK,Hradec Králové-centrum,NA,NA,TRUE
B0170,NA,SM,Hrubá Skála-Hlavatá skála,NA,NA,TRUE
B0171,AN – 1036,PH,Husinec u Řeže-,vila a zahrada čp. 9,NA,TRUE
B0172,NA-JT-7067; NA-JT-7066,NA,Hustířany-Velká Hradečnice,"Malá Hradečnice, U mlýna Podhrad",NA,TRUE
B0173,NA-JT-1120,NA,Hustířany-Na Merklovém,NA,NA,TRUE
B0174,NA-JT-5085,NA,Hustířany-Na provázcích,Ppč. 103/1 a 105,NA,TRUE
B0175,OT-7006,TU,Hvězda-,"Parc.č. 160, 161, 199",NA,TRUE
B0176,P-1314-00227,NB,Chleby-U Havranska,NA,ohrazení,TRUE
B0177,NA,MB,Chloumek-Na hrádku,NA,"původně zařazeno jako Vinařice, patrně se ale jedná o k.ú. Chloumek",TRUE
B0178,ADC-30407,MB,Chloumek-Švédské šance,NA,NA,TRUE
B0179,DN-1032,ME,Chlumín-Na dymáku,NA,NA,TRUE
B0180,P-1322-00176,HK,Chlum u Hradce Králové-Na vrších,Na vršku,NA,TRUE
B0181,NA,KO,Chotouchov-zahrada p. Horáka,NA,NA,TRUE
B0182,NA,KO,Chotýš,NA,NA,TRUE
B0183,P-1331-00013,KO,Chotýš-nad úvozovou cestou,NA,NA,TRUE
B0184,NA,CR,Chrast-K Chrašicícm,pole ppč. 605,NA,TRUE
B0185,NA,CR,Chrast,NA,NA,TRUE
B0186,P-1313-01146,KO,Chrášťany u Českého Brodu-bioplynová stanice,NA,ohrazení,TRUE
B0187,P-1342-00412,CR,Chrudim-Nad železniční zastávkou,NA,NA,TRUE
B0188,P-1342-00131,CR,Chrudim-Olbrachtova ul,NA,NA,TRUE
B0189,P-1342-00448,CR,Chrudim-Píšťovy,NA,NA,TRUE
B0190,NA,CR,Chrudim-Pod křížem,NA,NA,FALSE
B0191,P-1342-00220; P-1342-00219; ADC-17202; P-1342-00146; OS_CR_77012; ADC-17198,CR,Chrudim-Pod požární zbrojnicí,"Pod hasičskou zbrojnicí, Topolská ul.",NA,TRUE
B0192,OS_CR_11008; P-1342-00133; ADC-30431,CR,Chrudim-Pumberky,Pumberka,ohrazení,TRUE
B0193,P-1342-00293; ADC-17178; P-1342-00149,CR,Chrudim-Staré město,NA,NA,TRUE
B0194,ADC-17308,CR,Chrudim-U kostela Sv. Kříže,NA,Podle AMČR pouze lengyel,TRUE
B0195,ADC-17157,CR,Chrudim-Wiesnerova továrna,Transporta Chrudim,NA,TRUE
B0196,NA,HK,Chudonice-,Zadinův písečník,NA,TRUE
B0197,NA,JC,Chyjice-V lohovicích,NA,NA,TRUE
B0198,P-1323-00039; P-1323-00032,PA,Chýšť-Vražednice,NA,NA,TRUE
B0199,P-1341-00075,KH,Jakub-K Novému rybníku,NA,NA,TRUE
B0200,NA-JT-7319,NA,Jaroměř-Dolní dolce,autobazar,OBERLAUTERBACH,TRUE
B0201,P-1322-00385; NA-JT-5144; NA-JT-7308; NA-JT-7307; NA-JT-7305; NA-JT-7306,NA,Jaroměř-Dolní Dolce-Zavadilka,Kimberly Clark s.r.o.,NA,TRUE
B0202,ADC-15796; NA-JT-1261; P-1322-00036,NA,Jaroměř-Na cihelnách,NA,NA,TRUE
B0203,NA-JT-1279,NA,Jaroměř-Na Vinicích,NA,NA,TRUE
B0204,AN – 7010; P-1224-00503; ADC-11236; ADC-12163,PH,Jenštejn-Na vartě,Na vartu,NA,TRUE
B0205,ADC-11251; ADC-11261,PH,Jenštejn-Na Stráni,NA,NA,TRUE
B0206,P-1224-00031; ADC-11228; ADC-12161,PH,Jenštejn-,Zahrada domova důchodců,ohrazení jordanov,TRUE
B0207,PD-JC-1101,JC,Jeřice-V Motsečkách,"U mlýna, asi i Duchoňoves",NA,TRUE
B0208,PD-JC-7004,JC,Jeřice-U studánky,"Za studánkou, Nad obcí",NA,TRUE
B0209,P-0343-00036,JC,Jičín-nemocnice,NA,NA,TRUE
B0210,P-1313-00951,PH,Jirny-Na Kaštance,NA,NA,TRUE
B0211,ADC-10093,ME,Jiřice u Kostelce nad Labem-,NA,NA,TRUE
B0213,P-0343-00038; P-0343-00039,JC,Kbelnice-Horka,NA,NA,TRUE
B0214,NA,JC,Kbelnice-úvoz k Bílému mlýnu,NA,NA,TRUE
B0215,ADC-11721; P-1224-00954; ADC-11717; ADC-11725; ADC-11730,A9,Kbely-cihelna,Ulice Toužimská ppč. 1070,NA,TRUE
B0216,AA1496,A9,Kbely-,Nádražní ulice,NA,TRUE
B0217,P-1224-01221; ADC-11713; ADC-11718,A9,Kbely-ZŠ Albrechtická,NA,NA,TRUE
B0218,P-1224-01401; P-1224-01408,PH,Klecany-Na hradišti,NA,NA,TRUE
B0219,P-1224-01251,PH,Klecany-zámecká zahrada,NA,NA,TRUE
B0220,AN – 1047,PH,Klecany-Na skalkách,NA,NA,TRUE
B0221,NA,KO,Klučov u Českého Brodu-Na ptáčku,NA,NA,TRUE
B0222,NA,KO,Klučov u Českého Brodu-,Ppč. 55,NA,TRUE
B0223,NA,A8,Kobylisy-Kobyliské nám.,"Starý dvůr, Nad Šutkou",NA,TRUE
B0224,AA1479,A8,Kobylisy-U Ženíškovy cihelny,NA,NA,TRUE
B0225,NA,PA,Kojice-Za domkem,NA,NA,TRUE
B0226,NA,KO,Kolín-Ve vrbičkách,Kolín I,NA,TRUE
B0227,NA,KO,Kolín-Šťáralka,NA,podle Dufek et al. 2016 výskyt protolengyelské keramiky. Vypadá jako starý lengyel.,TRUE
B0228,NA,KO,Kolín-Lučební závody Draslovka,Kutnohorské předměstí,NA,TRUE
B0229,P-1332-00066; ADC-16501,KO,Kolín-Plynárenská,"Cihelna pánů Kuchaře, Veletovského a Buby",NA,TRUE
B0230,ADC-16476,KO,Kolín-Syntezia,Ppč. 2758/II,NA,TRUE
B0231,JV-1196,KO,Kolín-U zálabské Prachárny,Na skále,NA,TRUE
B0232,NA,KO,Kolín VII,NA,NA,TRUE
B0233,P-0343-00233,JC,Konecchlumí-U dubu,Na bělidle,NA,TRUE
B0234,OS_JC_1076,JC,Kopidlno-ČOV,NA,NA,TRUE
B0235,DV8021,SY,Kornice-Hlavňov,i k.ú. Nedošín,NA,TRUE
B0236,P-0333-00082,MB,Kosmonosy-,NA,NA,TRUE
B0237,ADC-10114,ME,Kostelec nad Labem-Blatenská,Cesta pod cukrovarem,NA,TRUE
B0238,ADC-10106,ME,Kostelec nad Labem-cukrovar,NA,NA,TRUE
B0239,ADC-10147,ME,Kostelec nad Labem-Na pískách,NA,NA,TRUE
B0240,P-1413-00027; P-1413-00029,RK,Kostelec nad Orlicí-Hálkova ul.,cihelna,NA,TRUE
B0241,ADC-30562,NB,Kounice-Na Skále,NA,NA,TRUE
B0242,P-1331-00145,KO,Kouřim-Molitirov,NA,VK jen ve svrchních vrstvách hliníků LnK,TRUE
B0243,ADC-16151,KO,Kouřim-U cukrovaru,NA,NA,TRUE
B0244,ADC-30568,KO,Kouřim-Stará Kouřim,NA,NA,TRUE
B0245,JV-1217,KO,Kouřim-V Dolnici,NA,NA,TRUE
B0246,ADC-16148,KO,Kouřim-U svatého Jiří,NA,NA,TRUE
B0247,NA,NB,Kovanice-intravilán,NA,NA,TRUE
B0248,P-1323-00049; P-1323-00062;,HK,Kratonohy-Požárský,"pískovna, i k.ú. Obědovice-Na požárce",NA,TRUE
B0249,NA,A4,Krč-Společenská zahrada,NA,"2 rondely, ohrazení jordanov",TRUE
B0250,P-1312-00004,NB,Křinec-Za mostem,NA,NA,TRUE
B0251,P-1341-00333,KH,Krchleby u Čáslavi-Na Lomenici,NA,NA,TRUE
B0252,P-1331-00015,KO,Krupá u Kostelce nad Černými Lesy-Syneč,Za Panskou zahradou,NA,TRUE
B0253,P-1331-00017,KO,Krupá u Kostelce nad Černými Lesy-V roklích,Syneč-naleziště B,NA,TRUE
B0254,P-1331-00018,KO,Krupá u Kostelce nad Černými Lesy-Měchejřík,NA,NA,TRUE
B0255,P-1242-00408,A,Křeslice-U Fantova mlýna,NA,NA,TRUE
B0256,P-1313-00120,KO,Kšely-,NA,NA,TRUE
B0257,JV-1237,KO,Kšely-,NA,NA,TRUE
B0258,JV-1240,KO,Kšely-Za humny,NA,NA,TRUE
B0259,ADC-16125,KO,Kšely-stavba kravínů,NA,NA,TRUE
B0260,JV-1234,KO,Kšely-V červenkách,NA,NA,TRUE
B0261,ADC-16123,KO,Kšely-dům č.p.7,NA,NA,TRUE
B0262,HK-1129,HK,Kukleny-škola,NA,NA,TRUE
B0263,NA,PA,Kunětice,NA,NA,FALSE
B0264,NA,A,Kunratice-Nový hrad,Nad lomem,NA,TRUE
B0265,KH-MA-1132,KH,Kutná Hora-Cimburk,Na homoli,NA,TRUE
B0266,P-1332-00575,KH,Kutná Hora-Karlov,NA,NA,TRUE
B0267,P-1332-00581,KH,Kutná Hora-Školní ul.,NA,NA,TRUE
B0268,ADC-30637,KH,Kutná Hora-Dänemark,NA,NA,TRUE
B0269,P-1332-00216,KH,Kutná Hora-Stará cihelna,NA,NA,TRUE
B0270,P-1313-00871,PH,Květnice-Za mlýnem,NA,NA,TRUE
B0271,P-1313-00967,PH,Květnice-Bedrníková ul.,Květnice 1,NA,TRUE
B0272,NA,PH,Květnice-Na Ladech,NA,NA,TRUE
B0273,P-1342-00433,CR,Lány u Bylan-Mezi mlýny,i k.ú. Sobětuchy,NA,TRUE
B0274,P-1342-00435,CR,Lány u Bylan-,NA,NA,TRUE
B0275,P-1324-00303,PA,Lázně Bohdaneč-Na kozlíčku,NA,NA,TRUE
B0276,P-1324-00005,PA,Lázně Bohdaneč-Dobrá,NA,NA,TRUE
B0277,P-1313-00926,PH,Lázně Toušeň-Nad tratí,NA,NA,TRUE
B0278,ADC-15388; ADC-15389; P-1312-00099,PH,Lázně Toušeň-Na hradisku,NA,NA,TRUE
B0279,P-1313-00537,PH,Lázně Toušeň-Jandova cihelna,NA,NA,TRUE
B0280,P-1224-01534,A9,Letňany-Beranových,Tupolevova-Prosecká,NA,TRUE
B0281,XLS-1121,PZ,Lhota u Dolních Břežan- dům č. 46,NA,NA,TRUE
B0282,P-1242-00167,PZ,Lhota u Dolních Břežan-Hradiště,Závist,NA,TRUE
B0283,DUPL_OS_5004; P-1312-00101; P-1312-00067; P-1312-00008,JC,Libáň-,NA,NA,TRUE
B0284,P-1312-00025; P-1312-00026,JC,Libáň-,ppč. 613/3,NA,TRUE
B0285,P-1324-00037,HK,Libčany-,Křižovatka na Radíkovice,NA,TRUE
B0286,HK-1137; HK-1136,HK,Libčany-intravilán,"Parc.č. 128, 129, 136, 134/1",NA,TRUE
B0287,AA1211,A8,Libeň-Libušák,NA,NA,TRUE
B0288,AA1221,A8,Libeň-Na Košince,Libeňská sokolovna,NA,TRUE
B0289,NA,A8,Libeň-Okrouhlík,NA,NA,TRUE
B0290,AA1225,A8,Libeň-Balabenka,NA,NA,TRUE
B0291,AA1217,A8,Libeň-Na Žertvách,NA,NA,TRUE
B0292,P-1332-00319;P-1332-00369;,KO,Libenice-Velký kus,NA,NA,TRUE
B0293,NA,PH,Líbeznice-obchvat,NA,NA,TRUE
B0294,P-1222-00050,ME,Libiš-,U křižovatky silnic I/9 a II/101,NA,TRUE
B0295,ADC-09862,ME,Libiš-,NA,NA,TRUE
B0296,P-1324-00275; P-1324-00313; P-1324-00274; P-1324-00238; P-1324-00240; P-1324-00239; P-1324-00245; P-1324-00211; P-1324-00217; P-1324-00216; P-1324-00210; P-1324-00171; ADC-15994,PA,Libišany-,NA,NA,TRUE
B0297,PB-1196,PA,Libišany-Na bahnech,NA,J Doležel uvádí chybnou lokalizaci,TRUE
B0298,PB-1194,PA,Libišany-,NA,NA,TRUE
B0299,P-1324-00173; P-1324-00083; P-1324-00129; P-1324-00128,PA,Libišany-Na nivách,Hatě,NA,TRUE
B0300,P-0334-00274,JC,Libošovice-,NA,NA,TRUE
B0301,P-1313-00212,KO,Limuzy-,NA,NA,TRUE
B0302,RK-7054,RK,Lípa nad Orlicí-Písník k Rašovicím,NA,NA,TRUE
B0303,NA,TU,Litíč-Za kravínem,NA,NA,TRUE
B0304,P-1322-00075,TU,Litíč-,NA,NA,TRUE
B0305,OT-7017,TU,Litíč-K Vestci,NA,NA,TRUE
B0306,P-1322-00102,HK,Lochenice_cihelna,areál JZD,NA,TRUE
B0307,NA,HK,Lochenice-V polích,letecká stanice,NA,TRUE
B0308,ADC-15876,HK,Lochenice_rozšiřování trati,NA,lokalizace v AMČR patrně nepřesná,TRUE
B0309,ADC-15877; ADC-15877;,HK,Lochenice-Za humny k Předměřicícm,sprašová návěj,NA,TRUE
B0310,NA,HK,Lochenice-intravilán,"čp. 58, 59",NA,TRUE
B0311,P-1322-00386; P-1322-00255; HK-7024; ADC-15932,HK,Lochenice-Na šancích,Na Hynkově kopci,KGA,TRUE
B0312,NA,HK,Lochenice-SV okraj obce,dům č. 41,NA,TRUE
B0313,HK-1151,HK,Lochenice-,"naleziště 8, ppč. 146/1",NA,TRUE
B0314,P-1322-00088,HK,Lochenice-,naleziště 12a,NA,TRUE
B0316,NA,NB,Loučeň-,NA,NA,TRUE
B0317,P-1332-00397,KH,Malín-u vepřína,NA,NA,TRUE
B0318,JV-1267,KO,Malotice-Za zahradami,směrem ke Lhotkám,NA,TRUE
B0319,NA,HK,Máslojedy,Ppč. 248,NA,TRUE
B0320,P-1322-00171,HK,Máslojedy,"parc. č. 124, 129/5, 133/1",NA,TRUE
B0321,P-1224-01004; AN – 1058,PH,Máslovice-Na dole,Pod hlavní budovou Výzkumného ústavu včelařského a pod Gregrovou vilou,NA,TRUE
B0322,NA,SM,Mašov u Turnova-Valdštejnsko,NA,NA,TRUE
B0323,AN/NB – 1134,NB,Mcely-Na Kamenci,NA,NA,TRUE
B0324,P-1411-00037,RK,Mělčany u Dobrušky-Chlum,NA,NA,TRUE
B0325,NA,PH,Měšice u Prahy-,NA,NA,TRUE
B0326,NA,A4,Michle- pískovna,Rennerova pískovna,NA,TRUE
B0327,NA,PA,Mikulovice u Pardubic,NA,NA,TRUE
B0328,P-1342-00387,PA,Mikulovice u Pardubic-ul.V loučkách,i k.ú. Blato,studna,TRUE
B0329,PB-1195,PA,Mikulovice u Pardubic-Kašparova cihelna,NA,NA,TRUE
B0330,P-1321-00301,JC,Milíčeves-Zámecká zahrada,NA,NA,TRUE
B0331,P-1321-00180,JC,Milíčeves-intravilán,NA,NA,TRUE
B0332,ADC-15744; P-1321-00048,JC,Milovice u Hořic-Nad vorlem,Orel,NA,TRUE
B0333,P-0333-00041,MB,Mladá Boleslav-Jičínská ul.,NA,NA,TRUE
B0334,P-0333-00122,MB,Mladá Boleslav-u Dolanského statku,NA,NA,TRUE
B0335,P-0333-00016; P-0333-00024,MB,Mladá Boleslav-Staroměstské nám.,NA,NA,TRUE
B0336,NA,KO,Mlékovice-zaharada p. Novotného,NA,NA,TRUE
B0337,P-0333-00044,MB,Mnichovo Hradiště-Nad maliním,NA,NA,TRUE
B0338,NA,KH,Močovice-U studánky,Na břehu,NA,TRUE
B0339,KH-MA-1043,KH,Močovice-První Lochovsko,"pole p. Vančury, Brycha a Nováka",NA,TRUE
B0340,KH-MA-1042,KH,Močovice-Na trnince,Lochovsko,NA,TRUE
B0341,P-1341-00005,KH,Močovice-Na kopě,Dolík,NA,TRUE
B0342,NA,A4,Modřany-K vystrkovu,NA,NA,TRUE
B0343,AA1070,A4,Modřany-Andělova ul.,NA,NA,TRUE
B0344,P-1313-00070; ADC-15452,PH,Mochov-Na Nehvizdku,NA,NA,TRUE
B0345,P-1313-00488,PH,Mochov-Nad domkem,NA,NA,TRUE
B0346,P-1313-00486,PH,Mochov-obecní pískovna u Obory,NA,NA,TRUE
B0347,P-1224-01393,PH,Mratín-Nový Mratín,NA,NA,TRUE
B0348,P-1313-00055; P-1313-00714; ADC-15505,KO,Mrzky-Nad vsí,NA,NA,TRUE
B0349,JV-1269,KO,Mrzky-U kamenného kříže,NA,NA,TRUE
B0351,P-0334-00343,JC,Nadslav-Na vrších,NA,NA,TRUE
B0352,NA-JT-1156,NA,Nahořany nad Metují-,Za statkem pana Rýdla,NA,TRUE
B0353,ADC-16508; ADC-16503,KO,Nebovidy-Zádušní pole,NA,NA,TRUE
