id,chrono,label,facet
M0265,LgK1,LgK I,SBK Late/LgK I
M0266,LgK2,LgK II,LgK II
M0267,LgK2,LgK II,LgK II
M0267,ENE0,Epi LgK,Proto Ene.
M0269,TRB1,TRB Baalberge,TRB Baalberge
M0270,LgK2,LgK II,LgK II
M0272,LgK2,LgK II,LgK II
M0275,LgK1,LgK I,SBK Late/LgK I
M0275,LgK2,LgK II,LgK II
M0278,LgK1,LgK I,SBK Late/LgK I
M0279,LgK1,LgK I,SBK Late/LgK I
M0279,ENE0,Epi LgK,Proto Ene.
M0280,LgK1,LgK I,SBK Late/LgK I
M0282,LgK1,LgK I,SBK Late/LgK I
M0283,LgK1,LgK I,SBK Late/LgK I
M0285,LgK2,LgK II,LgK II
M0285,ENE0,Epi LgK,Proto Ene.
M0287,LgK2,LgK II,LgK II
M0288,LgK2,LgK II,LgK II
M0289,LgK2,LgK II,LgK II
M0290,LgK2,LgK II,LgK II
M0291,ENE0,Epi LgK,Proto Ene.
M0292,LgK2,LgK II,LgK II
M0293,LgK2,LgK II,LgK II
M0294,LgK1,LgK I,SBK Late/LgK I
M0294,LgK2,LgK II,LgK II
M0299,LgK1,LgK I,SBK Late/LgK I
M0302,SBK1,SBK Early,SBK Early
M0302,LgK2,LgK II,LgK II
M0302,TRB1,TRB Baalberge,TRB Baalberge
M0304,LgK1,LgK I,SBK Late/LgK I
M0306,LgK1,LgK I,SBK Late/LgK I
M0307,TRB1,TRB Baalberge,TRB Baalberge
M0307,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0309,ENE0,Epi LgK,Proto Ene.
M0309,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0311,LgK2,LgK II,LgK II
M0313,LgK2,LgK II,LgK II
M0313,TRB1,TRB Baalberge,TRB Baalberge
M0315,LgK1,LgK I,SBK Late/LgK I
M0318,LgK1,LgK I,SBK Late/LgK I
M0320,LgK2,LgK II,LgK II
M0320,ENE0,Epi LgK,Proto Ene.
M0320,TRB1,TRB Baalberge,TRB Baalberge
M0324,LgK2,LgK II,LgK II
M0325,LgK2,LgK II,LgK II
M0326,LgK2,LgK II,LgK II
M0327,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0328,LgK2,LgK II,LgK II
M0329,LgK2,LgK II,LgK II
M0330,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0331,LgK1,LgK I,SBK Late/LgK I
M0332,LgK1,LgK I,SBK Late/LgK I
M0332,LgK2,LgK II,LgK II
M0333,LgK2,LgK II,LgK II
M0333,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0334,ENE0,Epi LgK,Proto Ene.
M0336,TRB1,TRB Baalberge,TRB Baalberge
M0337,LgK2,LgK II,LgK II
M0338,LgK2,LgK II,LgK II
M0339,TRB1,TRB Baalberge,TRB Baalberge
M0339,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0340,SBK1,SBK Early,SBK Early
M0340,LgK2,LgK II,LgK II
M0340,ENE0,Epi LgK,Proto Ene.
M0340,TRB1,TRB Baalberge,TRB Baalberge
M0341,LgK2,LgK II,LgK II
M0341,ENE0,Epi LgK,Proto Ene.
M0341,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0342,LgK2,LgK II,LgK II
M0343,SBK1,SBK Early,SBK Early
M0343,LgK2,LgK II,LgK II
M0344,ENE0,Epi LgK,Proto Ene.
M0347,LgK2,LgK II,LgK II
M0348,LgK2,LgK II,LgK II
M0349,LgK2,LgK II,LgK II
M0351,LgK2,LgK II,LgK II
M0352,LgK1,LgK I,SBK Late/LgK I
