id,chrono,label,facet
B0238,TRB1,TRB Baalberge,TRB Baalberge
B0240,ENE0,Jordanow,Proto Ene.
B0241,LgK2,LgK II,LgK II
B0241,ENE0,Jordanow,Proto Ene.
B0242,SBK2,SBK Late,SBK Late/LgK I
B0244,SBK2,SBK Late,SBK Late/LgK I
B0244,ENE0,Jordanow,Proto Ene.
B0248,SBK2,SBK Late,SBK Late/LgK I
B0249,SBK1,SBK Early,SBK Early
B0249,SBK2,SBK Late,SBK Late/LgK I
B0249,ENE0,Jordanow,Proto Ene.
B0249,TRB1,TRB Baalberge,TRB Baalberge
B0255,ENE0,Jordanow,Proto Ene.
B0256,ENE0,Jordanow,Proto Ene.
B0259,SBK1,SBK Early,SBK Early
B0262,SBK1,SBK Early,SBK Early
B0263,SBK2,SBK Late,SBK Late/LgK I
B0265,TRB1,TRB Baalberge,TRB Baalberge
B0265,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
B0268,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
B0279,ENE0,Jordanow,Proto Ene.
B0281,SBK1,SBK Early,SBK Early
B0283,SBK1,SBK Early,SBK Early
B0285,SBK2,SBK Late,SBK Late/LgK I
B0287,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
B0288,LgK2,LgK II,LgK II
B0288,ENE0,Jordanow,Proto Ene.
B0289,LgK2,LgK II,LgK II
B0289,ENE0,Jordanow,Proto Ene.
B0290,SBK2,SBK Late,SBK Late/LgK I
B0291,SBK2,SBK Late,SBK Late/LgK I
B0292,SBK1,SBK Early,SBK Early
B0293,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
B0295,ENE0,Jordanow,Proto Ene.
B0296,SBK1,SBK Early,SBK Early
B0296,SBK2,SBK Late,SBK Late/LgK I
B0303,SBK2,SBK Late,SBK Late/LgK I
B0306,SBK2,SBK Late,SBK Late/LgK I
B0307,SBK2,SBK Late,SBK Late/LgK I
B0307,LgK2,LgK II,LgK II
B0308,SBK2,SBK Late,SBK Late/LgK I
B0308,ENE0,Jordanow,Proto Ene.
B0309,SBK2,SBK Late,SBK Late/LgK I
B0311,SBK2,SBK Late,SBK Late/LgK I
B0311,LgK2,LgK II,LgK II
B0311,ENE0,Jordanow,Proto Ene.
B0312,LgK2,LgK II,LgK II
B0318,ENE0,Jordanow,Proto Ene.
B0322,SBK2,SBK Late,SBK Late/LgK I
B0326,ENE0,Jordanow,Proto Ene.
B0327,SBK2,SBK Late,SBK Late/LgK I
B0328,SBK2,SBK Late,SBK Late/LgK I
B0329,ENE0,Jordanow,Proto Ene.
B0330,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
B0332,SBK1,SBK Early,SBK Early
B0332,SBK2,SBK Late,SBK Late/LgK I
B0332,ENE0,Jordanow,Proto Ene.
B0336,ENE0,Jordanow,Proto Ene.
B0339,SBK2,SBK Late,SBK Late/LgK I
B0339,ENE0,Jordanow,Proto Ene.
B0339,TRB1,TRB Baalberge,TRB Baalberge
B0339,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
B0340,ENE0,Jordanow,Proto Ene.
B0341,SBK2,SBK Late,SBK Late/LgK I
B0341,TRB1,TRB Baalberge,TRB Baalberge
B0344,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
B0346,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
B0351,SBK1,SBK Early,SBK Early
B0353,SBK2,SBK Late,SBK Late/LgK I
B0353,LgK1,LgK I,SBK Late/LgK I
B0353,LgK2,LgK II,LgK II
B0355,ENE0,Jordanow,Proto Ene.
B0359,LgK2,LgK II,LgK II
B0359,ENE0,Jordanow,Proto Ene.
B0360,SBK2,SBK Late,SBK Late/LgK I
B0362,ENE0,Jordanow,Proto Ene.
B0366,SBK2,SBK Late,SBK Late/LgK I
B0371,ENE0,Jordanow,Proto Ene.
B0372,SBK1,SBK Early,SBK Early
B0372,SBK2,SBK Late,SBK Late/LgK I
B0375,SBK1,SBK Early,SBK Early
B0375,SBK2,SBK Late,SBK Late/LgK I
B0378,ENE0,Jordanow,Proto Ene.
B0380,SBK2,SBK Late,SBK Late/LgK I
B0382,ENE0,Jordanow,Proto Ene.
B0388,SBK2,SBK Late,SBK Late/LgK I
B0390,LgK2,LgK II,LgK II
B0394,ENE0,Jordanow,Proto Ene.
B0395,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
B0396,TRB1,TRB Baalberge,TRB Baalberge
B0398,SBK2,SBK Late,SBK Late/LgK I
B0399,SBK2,SBK Late,SBK Late/LgK I
B0400,SBK2,SBK Late,SBK Late/LgK I
B0401,SBK2,SBK Late,SBK Late/LgK I
B0402,SBK2,SBK Late,SBK Late/LgK I
B0403,SBK2,SBK Late,SBK Late/LgK I
B0404,SBK2,SBK Late,SBK Late/LgK I
B0405,SBK1,SBK Early,SBK Early
B0405,SBK2,SBK Late,SBK Late/LgK I
B0405,LgK2,LgK II,LgK II
B0406,SBK2,SBK Late,SBK Late/LgK I
B0407,SBK1,SBK Early,SBK Early
B0407,SBK2,SBK Late,SBK Late/LgK I
B0407,LgK2,LgK II,LgK II
B0408,SBK1,SBK Early,SBK Early
B0410,ENE0,Jordanow,Proto Ene.
B0414,LgK2,LgK II,LgK II
B0415,LgK1,LgK I,SBK Late/LgK I
B0415,LgK2,LgK II,LgK II
B0417,ENE0,Jordanow,Proto Ene.
B0422,SBK2,SBK Late,SBK Late/LgK I
B0425,LgK2,LgK II,LgK II
B0426,SBK2,SBK Late,SBK Late/LgK I
B0426,LgK2,LgK II,LgK II
B0427,SBK2,SBK Late,SBK Late/LgK I
B0428,SBK2,SBK Late,SBK Late/LgK I
B0429,SBK2,SBK Late,SBK Late/LgK I
B0429,LgK2,LgK II,LgK II
B0430,SBK2,SBK Late,SBK Late/LgK I
B0431,SBK2,SBK Late,SBK Late/LgK I
B0432,SBK2,SBK Late,SBK Late/LgK I
B0433,SBK2,SBK Late,SBK Late/LgK I
B0433,ENE0,Jordanow,Proto Ene.
B0434,ENE0,Jordanow,Proto Ene.
B0437,SBK2,SBK Late,SBK Late/LgK I
B0444,SBK1,SBK Early,SBK Early
B0444,ENE0,Jordanow,Proto Ene.
B0445,SBK2,SBK Late,SBK Late/LgK I
B0448,SBK2,SBK Late,SBK Late/LgK I
B0449,SBK2,SBK Late,SBK Late/LgK I
B0451,LgK2,LgK II,LgK II
B0453,LgK2,LgK II,LgK II
B0455,SBK2,SBK Late,SBK Late/LgK I
B0456,SBK1,SBK Early,SBK Early
B0456,LgK2,LgK II,LgK II
B0457,LgK2,LgK II,LgK II
B0458,SBK1,SBK Early,SBK Early
B0459,SBK2,SBK Late,SBK Late/LgK I
B0464,ENE0,Jordanow,Proto Ene.
B0465,SBK2,SBK Late,SBK Late/LgK I
B0469,SBK2,SBK Late,SBK Late/LgK I
B0469,LgK2,LgK II,LgK II
B0470,SBK2,SBK Late,SBK Late/LgK I
B0472,SBK2,SBK Late,SBK Late/LgK I
B0472,ENE0,Jordanow,Proto Ene.
B0477,LgK2,LgK II,LgK II
B0478,SBK2,SBK Late,SBK Late/LgK I
B0479,SBK2,SBK Late,SBK Late/LgK I
B0480,SBK2,SBK Late,SBK Late/LgK I
B0488,LgK2,LgK II,LgK II
B0489,SBK2,SBK Late,SBK Late/LgK I
B0490,ENE0,Jordanow,Proto Ene.
B0494,SBK2,SBK Late,SBK Late/LgK I
B0496,SBK1,SBK Early,SBK Early
B0499,SBK1,SBK Early,SBK Early
B0502,SBK2,SBK Late,SBK Late/LgK I
B0506,SBK2,SBK Late,SBK Late/LgK I
B0509,SBK2,SBK Late,SBK Late/LgK I
B0509,TRB1,TRB Baalberge,TRB Baalberge
B0510,SBK2,SBK Late,SBK Late/LgK I
B0511,LgK1,LgK I,SBK Late/LgK I
B0511,LgK2,LgK II,LgK II
B0512,ENE0,Jordanow,Proto Ene.
B0515,ENE0,Jordanow,Proto Ene.
B0518,LgK2,LgK II,LgK II
B0519,LgK2,LgK II,LgK II
B0520,SBK2,SBK Late,SBK Late/LgK I
B0521,ENE0,Jordanow,Proto Ene.
B0525,LgK2,LgK II,LgK II
B0526,SBK2,SBK Late,SBK Late/LgK I
B0530,SBK2,SBK Late,SBK Late/LgK I
B0531,ENE0,Jordanow,Proto Ene.
B0532,SBK2,SBK Late,SBK Late/LgK I
B0534,SBK2,SBK Late,SBK Late/LgK I
B0534,LgK2,LgK II,LgK II
B0536,LgK2,LgK II,LgK II
B0536,ENE0,Jordanow,Proto Ene.
B0539,SBK2,SBK Late,SBK Late/LgK I
B0541,SBK1,SBK Early,SBK Early
B0542,SBK2,SBK Late,SBK Late/LgK I
B0542,LgK2,LgK II,LgK II
B0542,ENE0,Jordanow,Proto Ene.
B0542,TRB1,TRB Baalberge,TRB Baalberge
B0543,LgK2,LgK II,LgK II
B0544,ENE0,Jordanow,Proto Ene.
B0545,SBK2,SBK Late,SBK Late/LgK I
B0552,ENE0,Jordanow,Proto Ene.
B0557,SBK2,SBK Late,SBK Late/LgK I
B0558,SBK2,SBK Late,SBK Late/LgK I
B0559,SBK2,SBK Late,SBK Late/LgK I
B0560,LgK2,LgK II,LgK II
B0563,ENE0,Jordanow,Proto Ene.
B0564,LgK2,LgK II,LgK II
B0564,ENE0,Jordanow,Proto Ene.
B0564,TRB1,TRB Baalberge,TRB Baalberge
B0565,SBK2,SBK Late,SBK Late/LgK I
B0566,SBK2,SBK Late,SBK Late/LgK I
B0567,SBK2,SBK Late,SBK Late/LgK I
B0570,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
B0571,ENE0,Jordanow,Proto Ene.
B0576,SBK1,SBK Early,SBK Early
B0578,ENE0,Jordanow,Proto Ene.
B0581,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
B0583,ENE0,Jordanow,Proto Ene.
B0585,ENE0,Jordanow,Proto Ene.
B0586,ENE0,Jordanow,Proto Ene.
B0587,ENE0,Jordanow,Proto Ene.
B0590,ENE0,Jordanow,Proto Ene.
B0593,ENE0,Jordanow,Proto Ene.
B0595,ENE0,Jordanow,Proto Ene.
B0596,SBK2,SBK Late,SBK Late/LgK I
B0599,ENE0,Jordanow,Proto Ene.
B0607,ENE0,Jordanow,Proto Ene.
B0613,TRB1,TRB Baalberge,TRB Baalberge
B0614,ENE0,Jordanow,Proto Ene.
M0001,LgK2,LgK II,LgK II
M0002,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0004,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0006,LgK1,LgK I,SBK Late/LgK I
M0007,ENE0,Epi LgK,Proto Ene.
M0008,LgK2,LgK II,LgK II
M0009,LgK1,LgK I,SBK Late/LgK I
M0013,LgK2,LgK II,LgK II
M0016,LgK2,LgK II,LgK II
M0017,LgK2,LgK II,LgK II
M0018,LgK2,LgK II,LgK II
M0021,LgK2,LgK II,LgK II
M0022,LgK2,LgK II,LgK II
M0023,LgK2,LgK II,LgK II
M0026,LgK1,LgK I,SBK Late/LgK I
M0027,ENE0,Epi LgK,Proto Ene.
M0029,LgK2,LgK II,LgK II
M0031,TRB1,TRB Baalberge,TRB Baalberge
M0032,LgK2,LgK II,LgK II
M0033,LgK2,LgK II,LgK II
M0034,LgK2,LgK II,LgK II
M0037,LgK2,LgK II,LgK II
M0039,LgK2,LgK II,LgK II
M0039,TRB1,TRB Baalberge,TRB Baalberge
M0039,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0040,LgK2,LgK II,LgK II
M0043,LgK2,LgK II,LgK II
M0045,LgK2,LgK II,LgK II
M0046,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0051,LgK1,LgK I,SBK Late/LgK I
M0052,LgK1,LgK I,SBK Late/LgK I
M0053,LgK2,LgK II,LgK II
M0054,LgK2,LgK II,LgK II
M0055,SBK1,SBK Early,SBK Early
M0056,LgK2,LgK II,LgK II
M0057,LgK1,LgK I,SBK Late/LgK I
M0058,LgK1,LgK I,SBK Late/LgK I
M0059,LgK1,LgK I,SBK Late/LgK I
M0060,LgK2,LgK II,LgK II
M0061,LgK1,LgK I,SBK Late/LgK I
M0062,LgK2,LgK II,LgK II
M0068,SBK1,SBK Early,SBK Early
M0068,LgK2,LgK II,LgK II
M0072,LgK2,LgK II,LgK II
M0074,LgK2,LgK II,LgK II
M0075,LgK2,LgK II,LgK II
M0076,LgK2,LgK II,LgK II
M0077,LgK2,LgK II,LgK II
M0078,LgK2,LgK II,LgK II
M0079,LgK2,LgK II,LgK II
M0081,LgK2,LgK II,LgK II
M0082,LgK2,LgK II,LgK II
M0082,ENE0,Epi LgK,Proto Ene.
M0083,LgK2,LgK II,LgK II
M0083,ENE0,Epi LgK,Proto Ene.
M0085,LgK2,LgK II,LgK II
M0086,LgK2,LgK II,LgK II
M0087,LgK1,LgK I,SBK Late/LgK I
M0088,LgK1,LgK I,SBK Late/LgK I
M0089,LgK1,LgK I,SBK Late/LgK I
M0090,LgK2,LgK II,LgK II
M0091,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0092,LgK2,LgK II,LgK II
M0092,ENE0,Epi LgK,Proto Ene.
M0093,LgK2,LgK II,LgK II
M0094,TRB1,TRB Baalberge,TRB Baalberge
M0095,LgK2,LgK II,LgK II
M0096,LgK2,LgK II,LgK II
M0099,TRB1,TRB Baalberge,TRB Baalberge
M0102,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0103,TRB1,TRB Baalberge,TRB Baalberge
M0104,LgK2,LgK II,LgK II
M0104,ENE0,Epi LgK,Proto Ene.
M0106,LgK1,LgK I,SBK Late/LgK I
M0107,LgK2,LgK II,LgK II
M0109,SBK1,SBK Early,SBK Early
M0109,LgK2,LgK II,LgK II
M0110,LgK2,LgK II,LgK II
M0110,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0114,LgK2,LgK II,LgK II
M0116,LgK1,LgK I,SBK Late/LgK I
M0117,LgK2,LgK II,LgK II
M0118,LgK1,LgK I,SBK Late/LgK I
M0119,LgK1,LgK I,SBK Late/LgK I
M0120,LgK1,LgK I,SBK Late/LgK I
M0123,LgK2,LgK II,LgK II
M0124,LgK1,LgK I,SBK Late/LgK I
M0126,LgK2,LgK II,LgK II
M0127,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0128,SBK1,SBK Early,SBK Early
M0129,LgK1,LgK I,SBK Late/LgK I
M0130,LgK1,LgK I,SBK Late/LgK I
M0131,LgK2,LgK II,LgK II
M0131,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0132,SBK1,SBK Early,SBK Early
M0132,LgK2,LgK II,LgK II
M0136,LgK2,LgK II,LgK II
M0137,LgK1,LgK I,SBK Late/LgK I
M0138,LgK2,LgK II,LgK II
M0139,LgK2,LgK II,LgK II
M0141,LgK2,LgK II,LgK II
M0143,LgK1,LgK I,SBK Late/LgK I
M0144,LgK2,LgK II,LgK II
M0145,LgK2,LgK II,LgK II
M0146,ENE0,Epi LgK,Proto Ene.
M0147,LgK2,LgK II,LgK II
M0147,TRB1,TRB Baalberge,TRB Baalberge
M0147,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0148,LgK2,LgK II,LgK II
M0148,ENE0,Epi LgK,Proto Ene.
M0148,TRB1,TRB Baalberge,TRB Baalberge
M0148,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0149,LgK2,LgK II,LgK II
M0149,ENE0,Epi LgK,Proto Ene.
M0150,LgK2,LgK II,LgK II
M0152,TRB1,TRB Baalberge,TRB Baalberge
M0153,LgK2,LgK II,LgK II
M0154,LgK2,LgK II,LgK II
M0156,LgK2,LgK II,LgK II
M0157,LgK2,LgK II,LgK II
M0157,ENE0,Epi LgK,Proto Ene.
M0158,LgK2,LgK II,LgK II
M0159,LgK2,LgK II,LgK II
M0160,LgK2,LgK II,LgK II
M0160,ENE0,Epi LgK,Proto Ene.
M0161,LgK2,LgK II,LgK II
M0162,LgK2,LgK II,LgK II
M0163,LgK2,LgK II,LgK II
M0164,TRB1,TRB Baalberge,TRB Baalberge
M0165,LgK2,LgK II,LgK II
M0167,LgK1,LgK I,SBK Late/LgK I
M0167,LgK2,LgK II,LgK II
M0167,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0168,LgK2,LgK II,LgK II
M0168,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0169,LgK2,LgK II,LgK II
M0169,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0170,LgK2,LgK II,LgK II
M0171,LgK2,LgK II,LgK II
M0173,LgK2,LgK II,LgK II
M0173,ENE0,Epi LgK,Proto Ene.
M0177,LgK2,LgK II,LgK II
M0178,LgK2,LgK II,LgK II
M0182,LgK2,LgK II,LgK II
M0183,LgK2,LgK II,LgK II
M0184,LgK2,LgK II,LgK II
M0185,LgK2,LgK II,LgK II
M0186,LgK2,LgK II,LgK II
M0187,LgK2,LgK II,LgK II
M0188,LgK2,LgK II,LgK II
M0189,LgK1,LgK I,SBK Late/LgK I
M0191,LgK2,LgK II,LgK II
M0191,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0192,LgK2,LgK II,LgK II
M0193,LgK2,LgK II,LgK II
M0194,TRB1,TRB Baalberge,TRB Baalberge
M0195,SBK1,SBK Early,SBK Early
M0195,LgK2,LgK II,LgK II
M0195,ENE0,Epi LgK,Proto Ene.
M0196,TRB1,TRB Baalberge,TRB Baalberge
M0197,LgK1,LgK I,SBK Late/LgK I
