id,value
B0001,4.71359267987457
B0002,3.8134276895541848
B0003,3.685290753045423
B0004,3.5552571843489535
B0005,4.374816005557191
B0006,3.8581317954650554
B0007,4.620260823995039
B0008,3.4253800693498477
B0009,13.543070194195575
B0010,7.004542070153937
B0011,6.536651082999307
B0012,6.386848282907891
B0013,6.60888828614614
B0014,7.11041879170839
B0015,4.680535184572664
B0016,6.120953515160317
B0017,5.18398794824691
B0018,10.852904285395699
B0019,10.395669635007177
B0020,4.454174618665888
B0021,4.381211133329286
B0022,4.222372132980223
B0023,4.727285838579535
B0024,4.036289616323226
B0025,3.8276514470530345
B0026,3.959652295059149
B0029,4.013000905139774
B0030,6.215049538775986
B0031,3.307084761125835
B0032,6.038872342422207
B0033,6.137735630325445
B0034,5.311048908769289
B0035,6.601478423200437
B0036,3.444690200562376
B0037,4.254347900214801
B0038,4.948984494917445
B0039,5.047642606809782
B0040,5.914300797896071
B0041,4.233622087961478
B0042,4.756305123004883
B0043,4.475611361549862
B0044,4.513680132122093
B0045,4.524622887326112
B0046,4.852977376927345
B0047,4.909943213878327
B0048,4.392310427711035
B0049,5.4353327505618525
B0050,7.1818675242317545
B0051,8.523281783381378
B0052,8.420694064395795
B0053,3.3445613199933795
B0054,4.3323766582630165
B0055,3.6050890736182217
B0056,4.1094349397918375
B0057,3.797166650708879
B0058,4.472098971659444
B0059,3.898418745244613
B0060,4.063459722507532
B0061,4.166200302002378
B0062,3.70330198619913
B0063,5.010859733538365
B0064,3.5467878168202795
B0065,5.798330630454508
B0066,4.059230367646498
B0067,4.90956256376966
B0068,6.120284137749205
B0069,5.530860586100676
B0070,5.712959090524729
B0071,5.048125269654977
B0072,4.260125925151382
B0073,5.087008731826296
B0074,4.589739237901733
B0075,6.26840415383921
B0076,6.4207162359181575
B0077,7.001131242391727
B0078,7.745749949282549
B0079,6.966923337237376
B0080,5.801762660937523
B0081,4.819553138854358
B0082,3.689415030696857
B0083,4.449390320708759
B0084,4.330076638477896
B0085,5.812259874369969
B0086,6.682788505175623
B0087,6.096192470434423
B0088,3.5865701064292397
B0089,4.911963225513063
B0090,5.581736632949802
B0091,6.101769471519134
B0092,4.822319122396239
B0093,14.029586578661704
B0094,5.354530867236028
B0095,5.1423953371569455
B0096,5.180717619848551
B0097,5.266504116192366
B0098,4.5345704777448645
B0099,4.958707651582827
B0100,4.544338739007057
B0101,5.1689975387603635
B0102,5.665577303372954
B0103,4.958151188607851
B0104,5.77661092757429
B0105,5.8452013443748685
B0106,6.526610864689515
B0107,4.65827410466421
B0108,3.5855919008305537
B0109,3.535387655802118
B0110,3.464447066857178
B0111,5.155979082501363
B0112,5.1490155588076405
B0113,5.019482720342337
B0114,5.448628809300114
B0115,6.169168246583684
B0116,4.048052450674054
B0117,7.457289859370922
B0118,5.103908984150872
B0119,3.7242962311486543
B0120,3.8925179810315935
B0121,3.9254034108148432
B0122,5.549699240654989
B0123,4.1365002368184385
B0124,4.221572460218948
B0125,3.2987730841169944
B0126,4.069720573372975
B0127,4.349077344785525
B0128,4.352447667886097
B0129,3.82321414379623
B0130,7.307965772301311
B0131,4.58436677215984
B0132,3.0620379497685404
B0133,2.6948398422382733
B0134,4.942279433218476
B0135,4.68437227107736
B0136,3.6513326502108314
B0137,8.12958417047282
B0138,5.7295101794874395
B0139,7.355538202929984
B0140,7.565711033932381
B0141,7.013897135655396
B0142,4.733286618015847
B0143,9.468568535130412
B0144,7.5341352768535685
B0145,7.10153385601171
B0146,6.37175568247628
B0147,3.198567165495279
B0148,5.638630932040413
B0149,6.1221737641396015
B0150,5.125371040361802
B0151,5.842020897494982
B0153,6.1546083890229655
B0154,5.24746508651705
B0155,5.981946465221106
B0156,11.46818095445633
B0157,5.020288686990926
B0158,3.3723005054977664
B0159,5.266937288277576
B0160,4.565821403175898
B0161,7.469715297058773
B0162,6.72149960548859
B0163,6.109798846237308
B0164,4.705611981889095
B0165,4.1330989233886495
B0166,7.072637232306609
B0167,6.304397766948776
B0168,5.766719084206749
B0169,7.439853724232822
B0170,10.724985568478598
B0171,9.306280035107743
B0172,7.755061376174229
B0173,6.506103545122978
B0174,6.140010381180381
B0175,5.932061029552758
B0176,4.846095105700606
B0177,9.798049802444904
B0178,9.642306858258957
B0179,2.7064723507223833
B0180,6.297505064488767
B0181,4.791652819458044
B0182,4.4784533684160195
B0183,5.658886066170443
B0184,6.245694511950766
B0185,5.621325132475004
B0186,4.553924765420297
B0187,6.1585120820652115
B0188,7.207109758712398
B0189,6.3064106657279755
B0190,7.013783614871637
B0191,6.573912554150572
B0192,6.535086182516013
B0193,7.884931454806351
B0194,7.170961172113801
B0195,7.177174394188812
B0196,3.30225680247593
B0197,4.598143674351356
B0198,5.211341658532385
B0199,3.640139783558932
B0200,6.601341837971819
B0201,6.422166956673425
B0202,5.623896680129005
B0203,6.008064334423451
B0204,4.290600562156511
B0205,3.9697284083039155
B0206,4.1356938089195054
B0207,5.601767752751662
B0208,3.878618468957789
B0209,5.020512638647288
B0210,5.038839241960546
B0211,4.195822002893349
B0213,7.454829537803103
B0214,6.593799102469987
B0215,4.0405251668215545
B0216,4.294002535059383
B0217,3.489244592877535
B0218,8.657567907915325
B0219,5.845285269779825
B0220,5.494899016231928
B0221,5.801010703577352
B0222,4.47597697721348
B0223,5.703840785015313
B0224,6.70389355376655
B0225,3.528777901361238
B0226,4.961923401498194
B0227,3.836523558856741
B0228,4.618913119201952
B0229,4.114961865614719
B0230,4.6938675068008155
B0231,5.832696501827837
B0232,4.206953188072296
B0233,5.0024363925481365
B0234,3.815453431613808
B0235,8.049557241928447
B0236,7.829271176161479
B0237,3.6949837156677696
B0238,3.8018780971313215
B0239,4.513431397459979
B0240,5.783281874131443
B0241,6.236996539399461
B0242,4.754279111517863
B0243,5.370042352630614
B0244,7.173739093504582
B0245,6.666932669010604
B0246,6.7972439948595635
B0247,4.526777441412445
B0248,3.444438601282869
B0249,5.589413005896763
B0250,4.326640243136958
B0251,4.034518447322158
B0252,5.454651041752142
B0253,5.361462641163425
B0254,5.855881417845632
B0255,5.705224249730748
B0256,4.954949563690098
B0257,4.612876898860969
B0258,5.615325723191648
B0259,4.4121647510522966
B0260,5.465823719664565
B0261,4.835082121949605
B0262,7.40032073323132
B0263,4.005839719263725
B0264,8.814122934965015
B0265,6.5740480502274945
B0266,5.490009018526556
B0267,4.3479301893215165
B0268,6.792841623499931
B0269,5.850525169044125
B0270,5.200564667148726
B0271,5.063256381355232
B0272,5.161625926607237
B0273,7.684029588838981
B0274,8.086092024807469
B0275,5.195189858515431
B0276,4.3351466137877805
B0277,5.728366339746422
B0278,5.008104213636439
B0279,5.107254700914621
B0280,3.6067173670851522
B0281,3.984581921229111
B0282,15.91222836000259
B0283,5.841695994021478
B0284,4.272194479186333
B0285,7.006461902660011
B0286,5.89604125096399
B0287,7.284074251873876
B0288,6.442336916007612
B0289,7.463807138278554
B0290,5.974376340613204
B0291,6.1664414442665
B0292,3.8430845213573686
B0293,3.977176313973823
B0294,3.3136344977620076
B0295,3.9157260311240294
B0296,5.879846190713281
B0297,7.184539237159228
B0298,5.742646300280467
B0299,6.826007241599238
B0300,4.994614179371666
B0301,6.455647421510596
B0302,6.0500615323992335
B0303,6.085609659960985
B0304,6.972973997534821
B0305,7.006082268256062
B0306,7.770534687608387
B0307,8.872563266407122
B0308,8.48736740766787
B0309,4.662398184667218
B0310,6.602398630231619
B0311,7.9870292862068935
B0312,7.311234136711212
B0313,5.229198910704055
B0314,7.358022803835442
B0316,5.431868664119758
B0317,3.9811975841464387
B0318,5.123217732229698
B0319,6.053078458427166
B0320,7.56384943642208
B0321,12.295332612565986
B0322,4.892663212292605
B0323,5.303932403700854
B0324,9.582096470836198
B0325,4.761180457566667
B0326,6.155596761255519
B0327,5.829977182712301
B0328,5.881084508918384
B0329,5.755007349188973
B0330,5.577900147606477
B0331,4.330052076810379
B0332,4.050283997082243
B0333,3.714929049654636
B0334,4.206031838169631
B0335,9.119642009118897
B0336,5.277231349578993
B0337,5.493033580879059
B0338,4.855619033566656
B0339,4.519062981734658
B0340,4.9322305557911355
B0341,4.770965326202553
B0342,6.607075814184103
B0343,5.057639359468002
B0344,6.345786343127209
B0345,4.470612344365667
B0346,4.363187871117183
B0347,3.6635611038348257
B0348,6.469275852387517
B0349,7.588728872223164
B0351,5.698987136581051
B0352,4.479003638685125
B0353,4.760813465055814
B0354,4.109434184436716
B0355,6.231258776660253
B0356,2.968205155065841
B0357,6.366695926717992
B0358,8.861036825840246
B0359,4.041812131387014
B0360,4.8078489221012575
B0361,4.083007251572721
B0362,5.273113134594811
B0363,5.200390490962352
B0364,3.035900796309242
B0365,5.595258644227892
B0366,3.15201692518435
B0367,3.7952505013839466
B0368,4.801750699163608
B0369,4.784537372964676
B0370,4.752070056523956
B0371,4.404212932835178
B0372,4.4069096186498955
B0373,3.3715091153463854
B0374,4.13770443947879
B0375,3.1150104873022944
B0376,5.374459791622222
B0377,5.7994858976584815
B0378,4.248260037610366
B0379,8.589411727529816
B0380,5.55780823012552
B0381,8.178696930502417
B0382,3.9306238805985094
B0383,3.964151328858517
B0384,3.9607411751762114
B0385,3.217668924852328
B0386,4.31859569921213
B0387,6.085942788436165
B0388,4.530271017752757
B0389,5.138838420569335
B0390,6.522520868682712
B0391,5.11750199034458
B0392,5.835533002778596
B0393,3.8716970471170797
B0394,4.849274569591011
B0395,5.753432178922394
B0396,7.468787599313917
B0397,4.283717259823291
B0398,4.531129614268459
B0399,7.018247078307582
B0400,4.2659536033564445
B0401,7.225646961483301
B0402,5.5216335212151835
B0403,7.944034263139635
B0404,7.413502408518367
B0405,5.187589123281907
B0406,6.717792031644183
B0407,5.937444351461945
B0408,3.3085220398012325
B0409,4.204445091201299
B0410,5.187534984122428
B0411,6.117655438423719
B0412,9.252091137190456
B0413,4.694747675969309
B0414,4.7631551895595194
B0415,5.840329129896607
B0416,4.2931499661276336
B0417,4.983843891572914
B0418,5.256020119690277
B0419,5.830863127849285
B0420,4.589138186520647
B0421,6.848500682222058
B0422,5.205540878465582
B0423,7.5342619096708
B0424,4.636621348337625
B0425,5.504062584049583
B0426,5.071098350967412
B0427,9.043690095897938
B0428,4.8574746049068525
B0429,5.34435259733868
B0430,5.429354386520572
B0431,5.902510458572774
B0432,5.346813942798453
B0433,4.59663065181059
B0434,5.2630418999692585
B0435,7.166123425580684
B0436,5.778923253733782
B0437,4.564013505024102
B0438,4.403445476392045
B0439,4.533861655973843
B0440,4.828757380656664
B0441,6.008338111452758
B0442,6.335834597481413
B0443,4.038137844132328
B0444,4.274092681536222
B0445,6.393239399163839
B0446,4.455363390152618
B0447,6.093549536847393
B0448,4.991425105674193
B0449,4.3958676373761785
B0450,4.17942043712156
B0451,6.666063127118153
B0452,3.1220847414485338
B0453,6.059917736930419
B0454,4.810270038384586
B0455,4.156898953697898
B0456,5.185022954135125
B0457,5.172476246393343
B0458,5.448330437448227
B0459,5.943394813931848
B0460,6.282520811882377
B0461,4.423737379840456
B0462,3.6029060750123656
B0463,5.849516440909239
B0464,3.7077010456058717
B0465,3.581869051552119
B0466,3.9414332703129626
B0467,3.924851388884526
B0468,4.589463294817592
B0469,6.150637312797371
B0470,8.025424020838981
B0471,5.164834279399673
B0472,4.394272981250987
B0473,4.909978366978876
B0474,4.388815116499285
B0475,5.20266367546524
B0476,4.962361222805703
B0477,7.688336736347764
B0478,7.472337063472226
B0479,7.627461594104393
B0480,6.916224294303447
B0481,3.6119565661511204
B0482,3.651034389210046
B0483,3.801246103211945
B0484,4.544138080367474
B0485,4.658707010760038
B0486,5.344865580033058
B0487,4.999732109843563
B0488,6.909680502782078
B0489,6.8195690342258
B0490,4.79425478726042
B0491,2.7593619802668923
B0492,5.260713854220908
B0493,6.955774989317764
B0494,6.275460087060928
B0495,5.061213778166535
B0496,4.5801495817467925
B0497,4.368434843939181
B0498,4.036547326036528
B0499,5.186297977725696
B0501,4.184847234674528
B0502,5.797504220278032
B0503,6.695249224144553
B0504,5.780830110077765
B0506,4.109838459532805
B0507,4.942899624779762
B0508,5.851834308134165
B0509,5.091185543152291
B0510,5.37766603928382
B0511,5.755152707114921
B0512,5.117253240145428
B0513,3.8451470020432144
B0514,4.269801918604651
B0515,6.625326416496211
B0516,5.27008993827754
B0517,5.947837527489888
B0518,7.350423994372421
B0519,6.821131578976975
B0520,8.56977783470619
B0521,4.834890063125758
B0522,4.401852712503769
B0523,5.0747573371728265
B0524,4.660103830417867
B0525,6.084127458128727
B0526,6.572575911621815
B0527,6.167166098646749
B0528,4.438392405189685
B0529,5.4166325261977715
B0530,4.703323652269137
B0531,6.408944052960386
B0532,4.802863947467737
B0533,4.879344841477069
B0534,5.358204018868494
B0535,6.3950593161526585
B0536,6.237843453743989
B0537,4.825696748293924
B0538,4.124120134956697
B0539,5.830365100712515
B0540,5.650006516517378
B0541,7.74063797454665
B0542,5.7018143169710145
B0543,5.744007109563994
B0544,4.748098136703517
B0545,6.02018225484007
B0546,5.0017559001421406
B0547,6.984361265015621
B0548,4.405293102912424
B0549,4.197458196530507
B0550,3.840527277586037
B0551,4.824311798661597
B0552,6.204646021361628
B0554,4.964784801757242
B0555,9.625280487790423
B0556,5.355020054893231
B0557,6.865412441234962
B0558,6.856315068531861
B0559,8.911070678128116
B0560,8.059350152716696
B0561,5.9452171084214385
B0562,5.583408770907038
B0563,4.341749304476818
B0564,5.110156823722821
B0565,4.7995989158655865
B0566,4.691291738746676
B0567,4.190252767177299
B0568,3.779996091769364
B0569,4.251914133822844
B0570,4.2585395335869745
B0571,4.883058007911642
B0572,5.114893007700838
B0573,4.474400629334146
B0574,4.14886350794699
B0575,5.783426749421547
B0576,4.019419783231684
B0578,7.741422276751536
B0579,6.718074393933112
B0580,4.020609422589064
B0581,5.341301221875694
B0582,5.479311961206948
B0583,5.71906330799024
B0584,7.109870687772948
B0585,9.41307620393977
B0586,8.989154170034636
B0587,4.948078653622011
B0588,5.875175356396707
B0589,5.735339795541913
B0590,5.155676888334134
B0591,4.289763109411619
B0592,3.9875156563595406
B0593,4.033535118079653
B0594,5.164392960146539
B0595,4.3247847717991075
B0596,4.396409315515461
B0597,4.674976234459409
B0598,4.080374408677314
B0599,5.180726208499833
B0600,5.300284993322566
B0601,4.140949382652854
B0602,3.4101495970119573
B0603,3.6736715506283466
B0604,9.562194658217248
B0605,4.432787364735356
B0606,4.170816244194342
B0607,7.365499366840912
B0608,4.646697226023693
B0609,3.335065781766293
B0610,3.5097888466145926
B0611,5.665759837997888
B0612,6.054020204533766
B0613,6.416125425140499
B0614,5.675468946270516
M0001,7.800815458568956
M0002,7.744989479464367
M0003,6.673043894880223
M0004,6.22510149293642
M0005,6.897743135245529
M0006,6.955693833647096
M0007,3.5571099021461046
M0008,3.93049768094923
M0009,9.449647380495971
M0010,8.619411506266358
M0013,4.837208640953481
M0014,7.688549537404042
M0015,7.164543732155965
M0016,6.968411366760824
M0017,7.639939737385498
M0018,6.021050812146243
M0019,4.170097129196866
M0020,4.377837002324234
M0021,4.534151364164427
M0022,6.175636230120018
M0023,5.003659556465456
M0024,4.186523421977468
M0025,5.406883125968178
M0026,6.465715797489169
M0027,6.375389180924949
M0028,9.372497603215423
M0029,10.747030313187562
M0030,5.241373714100657
M0031,5.8060082467309515
M0032,5.679867035633175
M0033,5.958707085162916
M0034,5.217461468914647
M0035,4.20547316942628
M0036,12.309353949513826
M0037,6.543319005026142
M0038,12.48394593854183
M0039,9.796199048332742
M0040,6.599115935243165
M0041,6.925076122198585
M0042,7.469762257609781
M0043,5.8341253243685705
M0044,12.818281306645037
M0045,8.301954062270143
M0046,5.918959266747373
M0047,8.538789300052112
M0048,8.012080849133643
M0049,10.222420366936
M0050,9.149579728463756
M0051,9.487804735657368
M0052,7.771899823554818
M0053,8.34110791854701
M0054,5.2466920017727885
M0055,5.48935497975312
M0056,7.140845537185669
M0057,6.3646430025498075
M0058,10.53252611244426
M0059,9.811881586089262
M0060,6.718103296234736
M0061,7.504369280167989
M0062,7.350438218862992
M0063,7.313081147256186
M0064,7.831914603359284
M0065,7.047277021262818
M0066,6.984437245387657
M0067,5.976611359624982
M0068,7.575872234320678
M0069,9.332465372106206
M0070,11.442298139435957
M0071,8.315558400098821
M0072,5.795063036267538
M0073,6.903121417512692
M0074,5.838002127590873
M0075,7.6135813894466935
M0076,8.308053283344412
M0077,7.915131248369719
