orig,rowid,orig_id,point_x,point_y,region,site,site_note,accuracy,surface,altitude,source,note,chrono1,chrono2,chrono1_label,chrono2_label
b,C0026,P-1313-01140,-723774,-1035385,PH,Brandýs nad Labem-Zápská,NA,2,FALSE,208,Lutovský a kol. 2010,NA,ENE,ENE Proto,Early Ene.,Proto Ene.
b,C0029,AN – 1023,-729215,-1032936,PH,Brázdim-Veliký Brádim,NA,3,NA,204,"921: PA 33, 328; 1921: PA 33, 238; Bouzek J. 1963: SbNM 17 A, 97, pozn. 4; Buchvaldek M. 1967: Schnurkeramik; Ehrich R., Pleslová E. 1968: Homolka, 201; Filip J. 1956: Keltové ve střední Evropě, Praha; Stocký A. 1926: Pravěk, 172; Stocký A. 1921: PA XXIII,1920-1921, 238",NA,TRB,NA,TRB,NA
b,C0030,N,-707817,-1021444,MB,Brodce nad Jizerou-,NA,3,NA,200,"archiv M. Zápotocké, Kutná Hora. Uvádí č. Kat. 928, patrně se jedná o číslo parcely, č. Katastru neodpovídá. NZ č.j. 3469/55",NA,SBK,NA,SBK,NA
b,C0031,P-1224-01586,-737110,-1035254,A8,Březiněves-Na Hlavní,NA,2,FALSE,254,AMČR,NA,TRB,NA,TRB,NA
b,C0032,P-0334-00270,-696198,-1013974,MB,Březno u Mladé Boleslavi-Pod vinicí,NA,2,TRUE,236,BZO 2002,NA,SBK,NA,SBK,NA
b,C0033,PD-JC-1019,-650837,-1024125,JC,Březovice-,"ppč. 140, 143, 145",2,FALSE,306,AMČR,NA,SBK,NA,SBK,NA
b,C0034,PD-JC-1021,-651228,-1024882,JC,Březovice-Mezi řekami,"Parc.č. 156, 178/1,3, 180/1; i k.ú. Chvalina",2,TRUE,306,"Vích,D. - Vokolek,V. 1997: Nálezy získané do sbírek AO MVČ v letech 1996-97, Zpravodaj MVČ 23, 3-27",NA,SBK,NA,SBK,NA
b,C0035,ADC-15497,-716514,-1044231,KL,Břežany II-Na statku,NA,NA,NA,232,"Rulf J. 1983: PA 74, 80; Stocký A.: Pravek I,1929.",NA,SBK,NA,SBK,NA
b,C0036,PD-JC-1024,-654738,-1029024,JC,Bříšťany-Na Parkáně,NA,2,NA,266,AMČR,NA,SBK,NA,SBK,NA
b,C0037,PD-JC-1023,-654303,-1028365,JC,Bříšťany-,NA,2,TRUE,270,BZO 1982-83,NA,SBK,NA,SBK,NA
b,C0038,P-0334-00093,-676012,-1015477,JC,Bukvice-východní okraj obce,NA,1,FALSE,316,BZO 1993-95,NA,SBK,NA,SBK,NA
b,C0039,ADC-15524,-708150,-1051601,KL,Bylany u Českého Brodu-Klečky,NA,3,FALSE,252,Vávra 2011,lokalizace uváděná Vávrou a ni v ADČ neodpovídají popisovaným nálezovým okolnostem ani traťovému názvu,LgK,NA,LgK,NA
b,C0039,ADC-15524,-708150,-1051601,KL,Bylany u Českého Brodu-Klečky,NA,3,FALSE,252,Vávra 2011,lokalizace uváděná Vávrou a ni v ADČ neodpovídají popisovaným nálezovým okolnostem ani traťovému názvu,ENE,NA,Early Ene.,NA
b,C0040,ADC-30109,-708406,-1050646,KL,Bylany u Českého Brodu-Okrouhlík,NA,2,TRUE,254,"Dvořák F.: Kolinsko 1936,str.31-2; Dvořák F.: Kolinsko 1936,31-2; Dvořák F.: Kolinsko 1936,31; Dvořák F.: Kolinsko 1936, str.31; Ehrich R.W.,Pleslová-Štiková E.: Homolka; Ehrich R.W.,Pleslová-Štiková E.: Homolka; Zápotocký M.: AUC 3 1856,54;Pl.; Archiv M. Zápotocké, Kutná Hora",NA,SBK,SBK Late,SBK,SBK Late
b,C0040,ADC-30109,-708406,-1050646,KL,Bylany u Českého Brodu-Okrouhlík,NA,2,TRUE,254,"Dvořák F.: Kolinsko 1936,str.31-2; Dvořák F.: Kolinsko 1936,31-2; Dvořák F.: Kolinsko 1936,31; Dvořák F.: Kolinsko 1936, str.31; Ehrich R.W.,Pleslová-Štiková E.: Homolka; Ehrich R.W.,Pleslová-Štiková E.: Homolka; Zápotocký M.: AUC 3 1856,54;Pl.; Archiv M. Zápotocké, Kutná Hora",NA,TRB,NA,TRB,NA
b,C0041,NA,-686600,-1067514,KH,Bylany u Kutné Hory-1,Vykopávky,1,FALSE,300,Vávra 1981,NA,SBK,SBK Late,SBK,SBK Late
b,C0041,NA,-686600,-1067514,KH,Bylany u Kutné Hory-1,Vykopávky,1,FALSE,300,Vávra 1981,NA,LgK,LgK II,LgK,LgK II
b,C0043,NA,-687366,-1066472,KH,Bylany u Kutné Hory-3,U svatého Vojtěcha; Mezi polohou Na obci a Přítokami,1,FALSE,310,Zápotocký 2001,NA,SBK,NA,SBK,NA
b,C0043,NA,-687366,-1066472,KH,Bylany u Kutné Hory-3,U svatého Vojtěcha; Mezi polohou Na obci a Přítokami,1,FALSE,310,Zápotocký 2001,NA,LgK,NA,LgK,NA
b,C0043,NA,-687366,-1066472,KH,Bylany u Kutné Hory-3,U svatého Vojtěcha; Mezi polohou Na obci a Přítokami,1,FALSE,310,Zápotocký 2001,NA,TRB,TRB Baalberg,TRB,TRB Baalberg
b,C0044,NA,-687372,-1066874,KH,Bylany u Kutné Hory-4,Vysocháj,1,FALSE,310,NA,NA,SBK,SBK Late,SBK,SBK Late
b,C0045,NA,-687716,-1067436,KH,Bylany u Kutné Hory-5,"Familky, Na hliništi",1,FALSE,335,Zápotocká 2005,NA,SBK,SBK Late,SBK,SBK Late
b,C0046,NA,-687256,-1067394,KH,Bylany u Kutné Hory-Nade vsí,NA,1,FALSE,320,Zápotocký 2001,NA,LgK,LgK II,LgK,LgK II
b,C0046,NA,-687256,-1067394,KH,Bylany u Kutné Hory-Nade vsí,NA,1,FALSE,320,Zápotocký 2001,NA,TRB,TRB Baalberg,TRB,TRB Baalberg
b,C0046,NA,-687256,-1067394,KH,Bylany u Kutné Hory-Nade vsí,NA,1,FALSE,320,Zápotocký 2001,NA,ENE,ENE Proto,Early Ene.,Proto Ene.
b,C0047,ADC-15172,-680763,-1017477,JC,Bystřice-V bahnech,NA,2,TRUE,310,"Zpravodaj KMVČ XVII/1 - 1990, 21",NA,SBK,NA,SBK,NA
b,C0048,ADC-06769,-680479,-1016625,JC,Bystřice-Nad Bahny,NA,2,TRUE,296,"Zpravodaj KMVČ XVII/1 - 1990, 21.",NA,SBK,NA,SBK,NA
b,C0049,NA,-648044,-1028566,JC,Cerekvice nad Bystřicí-Za Lužním mlýnem,NA,2,TRUE,276,Doležel 2012,NA,TRB,NA,TRB,NA
b,C0050,P-1322-00063,-646828,-1028857,JC,Cerekvice nad Bystřicí-Na kozách,NA,2,TRUE,274,"Boček J., Kalferst K. 1987: BZO 1984-85, 25; Drnovský P. 2013: Středověké osídlení na horním toku řeky Bystřice, 52",NA,SBK,NA,SBK,NA
b,C0051,P-1431-00055,-617064,-1079805,SY,Cerekvice nad Loučnou-,"Nad soutokem Kočinského potoka a Loučné, mezi tratí a silnicí Litomyšl-Vysoké Mýto",2,TRUE,302,BZO 2009,NA,SBK,NA,SBK,NA
b,C0052,DV8007; P-1431-00275,-617153,-1080199,SY,Cerekvice nad Loučnou-zemědělské družstvo,NA,2,FALSE,300,BZO 2009,NA,ENE,NA,Early Ene.,NA
b,C0053,KO_OS_5001,-696288,-1050146,KL,Cerhenice-Za dráhou,NA,2,FALSE,202,AMČR,výzkum ÚAPPSČ,TRB,NA,TRB,NA
b,C0054,P-1314-00132,-696680,-1051557,KL,Cernenice-Za oborou,NA,2,FALSE,200,"AMČR; Dvořák F.: Kolinsko 1936, str.127; Rulf J. 1983: PA 74.",výzkum M Kolín,TRB,TRB Baalberg,TRB,TRB Baalberg
b,C0055,P-1431-00275,-696091,-1050435,KL,Cerhenice-U cukrovaru,NA,2,FALSE,198,"AMČR; Dvořák F.: Kolinsko 1936, str.127; Rulf J. 1983: PA 74.",NA,TRB,NA,TRB,NA
b,C0055,P-1431-00275,-696091,-1050435,KL,Cerhenice-U cukrovaru,NA,2,FALSE,198,"AMČR; Dvořák F.: Kolinsko 1936, str.127; Rulf J. 1983: PA 74.",NA,ENE,ENE Proto,Early Ene.,Proto Ene.
b,C0056,NA,-680740,-1066351,KH,Církvice u Kutné Hory-Nad vsí,NA,3,FALSE,215,"BZO 1978/79, 136",NA,SBK,NA,SBK,NA
b,C0056,NA,-680740,-1066351,KH,Církvice u Kutné Hory-Nad vsí,NA,3,FALSE,215,"BZO 1978/79, 136",NA,LgK,NA,LgK,NA
b,C0057,KH-MA-1103,-680779,-1065771,KH,Církvice u Kutné Hory-Cihelna,NA,2,NA,212,AMČR,NA,SBK,NA,SBK,NA
b,C0058,NA,-642527,-1063504,PA,Černá za Bory-Žižín,NA,2,TRUE,230,"Vokolek, Zápotocký 2009",NA,LgK,NA,LgK,NA
b,C0059,ADC-11005,-735693,-1036783,A9,Čakovice-Kostelecká ul.,NA,2,FALSE,250,"Kovářík J. 1981: Praehistorica VII, 85-89; Kovářík J. 1983: Archaeologica Pragensia 4,   137-168; Kovářík J. 1980: Archaeologica Pragensia 1, 55-97",NA,TRB,NA,TRB,NA
b,C0060,ADC-11693,-734599,-1037603,A9,Čakovice-,NA,2,NA,252,AMČR,NA,TRB,NA,TRB,NA
b,C0061,P-1341-00425; P-1341-00414; P-1341-00416,-676764,-1072624,KH,Čáslav-Nový Čeplov,NA,1,FALSE,266,AMČR,NA,SBK,NA,SBK,NA
b,C0062,P-1341-00325,-676360,-1069883,KH,Čáslav-U hřbitova,K Chotusicům,2,FALSE,240,BZO 2006,NA,SBK,NA,SBK,NA
b,C0063,P-1341-00178,-675794,-1072718,KH,Čáslav-Na skále,NA,1,FALSE,262,BZO 2000,NA,SBK,SBK Late,SBK,SBK Late
b,C0063,P-1341-00178,-675794,-1072718,KH,Čáslav-Na skále,NA,1,FALSE,262,BZO 2000,NA,TRB,NA,TRB,NA
b,C0064,P-1341-00216; KH-MA-1156,-677779,-1069552,KH,Čáslav-Kalabousek,NA,1,FALSE,230,"BZO 2000; Malina J. a kol. 1976:, 39; Vávra 1981",NA,LgK,LgK II,LgK,LgK II
b,C0064,P-1341-00216; KH-MA-1156,-677779,-1069552,KH,Čáslav-Kalabousek,NA,1,FALSE,230,"BZO 2000; Malina J. a kol. 1976:, 39; Vávra 1981",NA,TRB,NA,TRB,NA
b,C0065,P-1341-00121,-676368,-1071478,KH,Čáslav-Staré město,Na ostrém rohu,1,FALSE,258,BZO 1996-97,NA,SBK,NA,SBK,NA
b,C0066,KH-MA-1149,-674238,-1071348,KH,Čáslav-Ke Koudelovu,U Koudelova,2,FALSE,236,"Stocký A.: Pravěk I, 162",NA,TRB,NA,TRB,NA
b,C0067,KH-MA-1154,-676151,-1073223,KH,Čáslav-Svornost,NA,2,FALSE,260,"Malina J. a kol.: 1976; Palliardi: 1914,36; Zápotocký 2001; Vávra 1981; archiv M. Zápotocké, Kutná Hora",NA,SBK,SBK Early,SBK,SBK Early
b,C0067,KH-MA-1154,-676151,-1073223,KH,Čáslav-Svornost,NA,2,FALSE,260,"Malina J. a kol.: 1976; Palliardi: 1914,36; Zápotocký 2001; Vávra 1981; archiv M. Zápotocké, Kutná Hora",NA,LgK,LgK II,LgK,LgK II
b,C0067,KH-MA-1154,-676151,-1073223,KH,Čáslav-Svornost,NA,2,FALSE,260,"Malina J. a kol.: 1976; Palliardi: 1914,36; Zápotocký 2001; Vávra 1981; archiv M. Zápotocké, Kutná Hora",NA,TRB,TRB Boleraz/Saalzm,TRB,TRB Boleraz/Saalzmund
b,C0068,ADC-30119,-676931,-1071485,KH,Čáslav-Hrádek,NA,1,FALSE,260,Zápotocký 2001,NA,SBK,NA,SBK,NA
