hydro_kde,id
0.001527126063592732,B0001
0.0012829455081373453,B0002
0.0013778163120150566,B0003
6.58892618957907e-4,B0004
0.001117186271585524,B0005
0.0013812979450449347,B0006
0.0013812979450449347,B0007
0.0014790237182751298,B0008
0.0015701003139838576,B0009
0.001322075631469488,B0010
0.0013591708848252892,B0011
0.0012686315070216854,B0012
0.0013591708848252892,B0013
0.0012686315070216854,B0014
0.0012076429557055235,B0015
9.060799493454397e-4,B0016
6.567522650584579e-4,B0017
8.946300949901342e-4,B0018
9.769370080903172e-4,B0019
9.9235400557518e-4,B0020
9.120753384195268e-4,B0021
9.792559867491946e-4,B0022
0.0010645701549947262,B0023
9.56245930865407e-4,B0024
9.415224000501136e-4,B0025
9.56245930865407e-4,B0026
9.309725719504058e-4,B0029
4.6371473581530154e-4,B0030
5.426967400126159e-4,B0031
0.0015644824597984552,B0032
0.0012174671282991767,B0033
0.0012174671282991767,B0034
9.587790700607002e-4,B0035
0.0013081387849524617,B0036
0.0012355101061984897,B0037
0.0013251910762240489,B0038
0.0010473951697349548,B0039
9.618264739401639e-4,B0040
0.001071092711451153,B0041
0.0010001513874158263,B0042
0.0010057342393944662,B0043
0.0010057342393944662,B0044
0.00119809169943134,B0045
0.0010824907338246703,B0046
0.00140862085390836,B0047
0.00140862085390836,B0048
0.001369242207147181,B0049
0.0014132416884725292,B0050
0.0013813882833346725,B0051
0.0013813882833346725,B0052
0.0014358926564455032,B0053
7.427425007335842e-4,B0054
0.0014358926564455032,B0055
0.0012932507088407874,B0056
0.0012932507088407874,B0057
0.0015852103242650628,B0058
7.220974075607955e-4,B0059
5.067650927230716e-4,B0060
0.0010846544289961457,B0061
0.0010709747322835029,B0062
9.32362008218964e-4,B0063
0.0010812770342454314,B0064
0.0010005881000931065,B0065
9.220071951858699e-4,B0066
9.53071634285152e-4,B0067
0.0011577499099075794,B0068
0.0023476378992199898,B0069
0.0023476378992199898,B0070
8.03018338046968e-4,B0071
8.03018338046968e-4,B0072
8.03018338046968e-4,B0073
8.03018338046968e-4,B0074
6.780661642551422e-4,B0075
0.0017207328928634524,B0076
0.0017207328928634524,B0077
0.0017207328928634524,B0078
0.0017207328928634524,B0079
8.992955166225632e-4,B0080
9.224352543242276e-4,B0081
9.602243662811816e-4,B0082
9.476279956288636e-4,B0083
0.0010649891337379813,B0084
